,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,108,Leicester City,11,13,9,1,12,17,18,5,4,6,4,1,6,4,8,6
0,222,Leeds United,17,8,12,4,10,12,13,4,9,2,9,4,3,2,6,2
0,220,Ipswich Town,12,13,12,6,7,10,18,7,14,9,6,1,9,3,4,7
0,146,Southampton,15,15,13,1,10,9,10,12,8,5,10,2,9,13,9,5
0,142,West Bromwich Albion,9,12,6,1,14,13,9,3,5,9,5,1,4,10,7,3
0,159,Norwich City,9,16,9,3,16,7,13,4,5,9,15,2,9,5,10,6
0,150,Hull City,10,12,13,2,8,10,7,3,9,6,7,3,6,11,8,6
0,239,Coventry City,4,11,9,1,10,16,10,7,7,5,14,2,6,7,11,3
0,147,Middlesbrough,6,8,11,1,12,10,12,4,8,11,14,1,9,9,5,3
0,210,Preston North End,7,7,15,0,12,7,7,1,5,10,11,1,10,7,11,6
0,161,Cardiff City,5,8,8,1,6,8,7,7,7,6,14,2,14,3,10,5
0,207,Bristol City,4,8,5,4,10,7,9,4,2,7,8,1,11,4,9,5
0,156,Sunderland,7,6,9,3,7,7,12,1,5,10,8,2,9,9,8,0
0,154,Swansea City,8,11,7,0,7,8,8,8,8,8,9,2,7,17,8,3
0,155,Watford,9,5,11,1,13,6,9,5,11,12,7,1,4,9,11,3
0,229,Millwall,11,4,5,2,7,2,5,7,6,9,8,1,8,6,10,7
0,160,Queens Park Rangers,2,4,8,1,4,10,8,4,7,10,5,2,11,12,7,3
0,141,Stoke City,5,2,10,4,6,8,7,2,9,10,12,0,9,9,6,5
0,216,Blackburn Rovers,12,8,6,1,16,9,4,2,9,16,7,1,7,11,18,5
0,264,Plymouth Argyle,6,10,12,4,6,6,9,5,10,6,8,3,15,15,6,6
0,214,Sheffield Wednesday,4,3,9,0,7,5,5,6,9,5,11,5,9,13,15,1
0,206,Birmingham City,8,3,7,4,7,7,8,4,7,9,7,1,14,7,12,7
0,217,Huddersfield Town,3,6,8,2,4,11,7,6,9,7,8,2,15,12,10,11
0,212,Rotherham United,4,5,2,1,8,5,4,3,15,11,9,7,15,12,10,6
