,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,7572,9663,Cameron Dawson,Cameron,Dawson,Cameron Dawson,cameron-dawson,28,183,69,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/cameron-dawson,214,-1,-1,Goalkeeper,1620,810,810,805100400,England,eu,18,9,9,0,0,0,2,2,4,28,12,16,0,0,0,0,0,-1,0.0,0.0,0.0,22,0.0,0.0,0,1.56,58,3,3,0,90,540,0,0.17,420,416,182,20,1705158000
1,746,9663,Callum Thomas Owen Paterson,Callum Thomas Owen,Paterson,Callum Paterson,callum-paterson,29,183,76,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/scotland/callum-paterson,214,-1,-1,Defender,1582,955,627,782031600,Scotland,eu,24,14,10,0,0,0,3,2,5,29,16,13,1,1,0,0,0,-1,0.06,0.06,0.0,21,0.0,0.0,0,1.65,55,6,6,0,66,264,1582,0.34,549,283,187,25,1703602800
2,9857,9663,Michael Uzoukwu Absalom Jude Ihiekwe,Michael Uzoukwu Absalom Jude,Ihiekwe,Michael Ihiekwe,michael-ihiekwe,31,186,77,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/michael-ihiekwe,214,-1,-1,Defender,1924,808,1116,722246400,England,eu,25,11,14,1,1,0,3,5,8,37,10,27,2,1,1,0,0,-1,0.14,0.09,0.05,32,0.11,0.0,1924,1.73,52,4,4,0,77,481,962,0.19,294,228,196,14,1713699000
3,7420,9663,Dominic Iorfa,Dominic,Iorfa,Dominic Iorfa,dominic-iorfa,28,193,78,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/dominic-iorfa,214,-1,-1,Defender,1698,879,819,803977200,England,eu,27,15,12,0,0,0,4,3,7,28,11,17,2,0,2,0,0,-1,0.11,0.11,0.0,26,0.0,0.0,0,1.48,61,2,2,0,63,849,849,0.11,459,184,165,32,1714226400
4,10095,9663,Akin Famewo,Akin,Famewo,Akin Famewo,akin-famewo,25,180,66,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/akin-famewo,214,-1,-1,Defender,2632,1356,1276,910598400,England,eu,35,17,18,0,0,0,3,5,8,42,19,23,0,0,0,0,0,-1,0.0,0.0,0.0,23,0.0,0.0,0,1.44,63,8,8,0,75,329,0,0.27,460,468,159,31,1713699000
5,4675,9663,Barry Ryan Bannan,Barry Ryan,Bannan,Barry Bannan,barry-bannan,34,169,61,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/scotland/barry-bannan,214,-1,-1,Midfielder,3341,1652,1689,628502400,Scotland,eu,41,20,21,1,0,1,5,6,11,55,23,32,1,0,1,0,0,-1,0.05,0.03,0.03,27,0.0,0.05,3341,1.48,61,13,12,1,81,257,3341,0.35,341,349,-1,13,1714226400
6,7414,9663,William Robert Vaulks,William,Robert Vaulks,Will Vaulks,will-vaulks,30,180,75,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/wales/will-vaulks,214,-1,-1,Midfielder,2264,1138,1126,747903600,Wales,eu,33,16,17,0,0,0,5,4,9,35,11,24,3,3,0,0,0,-1,0.12,0.12,0.0,27,0.0,0.0,0,1.39,65,10,10,0,69,226,755,0.4,461,158,-1,30,1714226400
7,469245,9663,Joshua Dean Windass,Joshua Dean,Windass,Josh Windass,josh-windass,30,175,68,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/josh-windass,214,-1,-1,Midfielder,1697,824,873,758102400,England,eu,24,12,12,5,4,1,3,4,7,24,9,15,2,1,1,0,0,-1,0.37,0.11,0.27,28,0.44,0.1,339,1.27,71,7,7,0,71,242,849,0.37,91,187,-1,3,1714226400
8,10251,9663,Tyreeq Jamal Adeshina Oliveira Bakinson,Tyreeq Jamal Adeshina Oliveira,Bakinson,Tyreeq Bakinson,tyreeq-bakinson,25,190,70,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/tyreeq-bakinson,214,-1,-1,Midfielder,287,114,173,908002800,England,eu,8,3,5,0,0,0,0,1,1,6,2,4,0,0,0,0,0,-1,0.0,0.0,0.0,13,0.0,0.0,0,1.88,48,0,0,0,36,0,0,0.0,462,467,-1,29,1696359600
9,8286,9663,Lee Andrew Gregory,Lee Andrew,Gregory,Lee Gregory,lee-gregory,35,188,80,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/lee-gregory,214,-1,-1,Forward,718,363,355,588582000,England,eu,13,7,6,1,1,0,1,1,2,14,6,8,0,0,0,0,0,-1,0.13,0.0,0.13,15,0.25,0.0,718,1.75,51,2,2,0,55,359,0,0.25,191,466,-1,11,1698259500
