,id,seasonGoals_home,seasonGoals_away,seasonConceded_away,seasonConceded_home,seasonGoals,points,seasonConceded,seasonGoalDifference,seasonWins_home,seasonWins_away,seasonWins_overall,seasonDraws_home,seasonDraws_away,seasonDraws_overall,seasonLosses_away,seasonLosses_overall,seasonLosses_home,matchesPlayed,name,country,cleanName,shortHand,url,seasonURL_overall,seasonURL_home,seasonURL_away,position,zone,corrections,wdl_record
0,108,40,39,22,15,79,88,37,42,15,13,28,1,3,4,5,9,4,41,Leicester City FC,,Leicester City,leicester-city-fc,/clubs/leicester-city-fc-108,/clubs/leicester-city-fc-108,/clubs/leicester-city-fc-108,/clubs/leicester-city-fc-108,1,"{'name': 'Promotion', 'number': 1}",0,wwwwlwwwwwwwwwllwdwwwwwdwwldwwwwlllwdlwwl
1,222,44,32,20,13,76,87,33,43,16,10,26,5,4,9,7,7,0,42,Leeds United FC,,Leeds United,leeds-united-fc,/clubs/leeds-united-fc-222,/clubs/leeds-united-fc-222,/clubs/leeds-united-fc-222,/clubs/leeds-united-fc-222,2,"{'name': 'Promotion', 'number': 1}",0,dldwdwdwlwwwlwwwdwwwldwllwwwwwwwwwdwwwdwld
2,220,56,28,21,31,84,87,52,32,15,11,26,4,5,9,5,6,1,41,Ipswich Town FC,,Ipswich Town,ipswich-town-fc,/clubs/ipswich-town-fc-220,/clubs/ipswich-town-fc-220,/clubs/ipswich-town-fc-220,/clubs/ipswich-town-fc-220,3,"{'name': 'Promotion Play-off', 'number': 2}",0,wwwlwwwwdwwwwddwlwwwwdldddwdldwwwwwwlwwwl
3,146,48,30,26,26,78,78,52,26,13,10,23,3,6,9,4,8,4,40,Southampton FC,,Southampton,southampton-fc,/clubs/southampton-fc-146,/clubs/southampton-fc-146,/clubs/southampton-fc-146,/clubs/southampton-fc-146,4,"{'name': 'Promotion Play-off', 'number': 2}",0,wdwwllllwwdwdwwwdwwddwwwwdwwwwlwllwwdldw
4,142,33,31,25,16,64,69,41,23,13,6,19,4,8,12,7,10,3,41,West Bromwich Albion FC,,West Bromwich Albion,west-bromwich-albion-fc,/clubs/west-bromwich-albion-fc-142,/clubs/west-bromwich-albion-fc-142,/clubs/west-bromwich-albion-fc-142,/clubs/west-bromwich-albion-fc-142,5,"{'name': 'Promotion Play-off', 'number': 2}",0,lwdwldddwwldwwwlwwllwdlwwlwlwdwlwdwdwwddd
5,159,40,35,41,19,75,68,60,15,15,5,20,2,6,8,10,14,4,42,Norwich City FC,,Norwich City,norwich-city-fc,/clubs/norwich-city-fc-159,/clubs/norwich-city-fc-159,/clubs/norwich-city-fc-159,/clubs/norwich-city-fc-159,6,"{'name': 'Promotion Play-off', 'number': 2}",0,wdwwlwllwldllllwwlwdwdwlldwwlwdwwdwlwwwlwd
6,239,32,34,29,20,66,63,49,17,9,8,17,8,4,12,9,12,3,41,Coventry City FC,,Coventry City,coventry-city-fc,/clubs/coventry-city-fc-239,/clubs/coventry-city-fc-239,/clubs/coventry-city-fc-239,/clubs/coventry-city-fc-239,7,"{'name': None, 'number': -10}",0,lwddddldwwdlllldwwlwddwwdwwwdlwdwllwwwlwl
7,210,35,21,24,32,56,63,56,0,11,7,18,4,5,9,8,14,6,41,Preston North End FC,,Preston North End,preston-north-end-fc,/clubs/preston-north-end-fc-210,/clubs/preston-north-end-fc-210,/clubs/preston-north-end-fc-210,/clubs/preston-north-end-fc-210,8,"{'name': None, 'number': -10}",0,dwwwwwwdlllddlwwllldwllwllwldwwwdwdlwwldw
8,150,27,30,30,22,57,61,52,5,7,10,17,7,3,10,7,13,6,40,Hull City AFC,,Hull City,hull-city-afc,/clubs/hull-city-afc-150,/clubs/hull-city-afc-150,/clubs/hull-city-afc-150,/clubs/hull-city-afc-150,9,"{'name': None, 'number': -10}",0,lwwdwddwdldlwwlwdwllwwllwllwwlwwwddddllw
9,147,24,34,32,21,58,61,53,5,9,9,18,4,3,7,8,16,8,41,Middlesbrough FC,,Middlesbrough,middlesbrough-fc,/clubs/middlesbrough-fc-147,/clubs/middlesbrough-fc-147,/clubs/middlesbrough-fc-147,/clubs/middlesbrough-fc-147,10,"{'name': None, 'number': -10}",0,lldllldwwwwwwldwlwlllwwlwlwddllwllwwwddww
10,161,24,22,30,27,46,56,57,-11,9,8,17,3,2,5,10,19,9,41,Cardiff City FC,,Cardiff City,cardiff-city-fc,/clubs/cardiff-city-fc-161,/clubs/cardiff-city-fc-161,/clubs/cardiff-city-fc-161,/clubs/cardiff-city-fc-161,11,"{'name': None, 'number': -10}",0,dllwlwwwwldlwwdlwllwllwdlwllwllldwwwwllwl
11,207,23,21,25,20,44,54,45,-1,9,6,15,3,6,9,9,17,8,41,Bristol City FC,,Bristol City,bristol-city-fc,/clubs/bristol-city-fc-207,/clubs/bristol-city-fc-207,/clubs/bristol-city-fc-207,/clubs/bristol-city-fc-207,12,"{'name': None, 'number': -10}",0,dwldwdwllwlwllwdwlldlwwwdllddlwwllllwlwwd
12,156,30,21,23,27,51,53,50,1,10,5,15,2,6,8,10,19,9,42,Sunderland AFC,,Sunderland,sunderland-afc,/clubs/sunderland-afc-156,/clubs/sunderland-afc-156,/clubs/sunderland-afc-156,/clubs/sunderland-afc-156,13,"{'name': None, 'number': -10}",0,llwdwwwlwwlllwdwlldwwllwdwllwdwlllllldwldd
13,155,31,26,27,28,57,51,55,2,5,7,12,8,7,15,6,14,8,41,Watford FC,,Watford,watford-fc,/clubs/watford-fc-155,/clubs/watford-fc-155,/clubs/watford-fc-155,/clubs/watford-fc-155,14,"{'name': None, 'number': -10}",0,wdlldwdllldwwddwlwwdlwwlddwddlllwlldlwddd
14,154,22,27,35,27,49,47,62,-13,6,6,12,5,6,11,9,18,9,41,Swansea City AFC,,Swansea City,swansea-city-afc,/clubs/swansea-city-afc-154,/clubs/swansea-city-afc-154,/clubs/swansea-city-afc-154,/clubs/swansea-city-afc-154,15,"{'name': None, 'number': -10}",0,dldllldwwwwllwdldldwdlwldwdlllwllwwdlwdll
15,160,23,17,22,32,40,47,54,-14,5,7,12,6,5,11,9,19,10,42,Queens Park Rangers FC,,Queens Park Rangers,queens-park-rangers-fc,/clubs/queens-park-rangers-fc-160,/clubs/queens-park-rangers-fc-160,/clubs/queens-park-rangers-fc-160,/clubs/queens-park-rangers-fc-160,16,"{'name': None, 'number': -10}",0,lwllwlddllllllddlwwwdllldllwdwdlwwwdldwwld
16,229,18,21,26,28,39,47,54,-15,7,5,12,5,6,11,10,19,9,42,Millwall FC,,Millwall,millwall-fc,/clubs/millwall-fc-229,/clubs/millwall-fc-229,/clubs/millwall-fc-229,/clubs/millwall-fc-229,17,"{'name': None, 'number': -10}",0,wllwdlwdlwddldlwlldllddwwwlldllllwwdwldllw
17,216,26,30,35,31,56,46,66,-10,6,6,12,6,4,10,10,19,9,41,Blackburn Rovers FC,,Blackburn Rovers,blackburn-rovers-fc,/clubs/blackburn-rovers-fc-216,/clubs/blackburn-rovers-fc-216,/clubs/blackburn-rovers-fc-216,/clubs/blackburn-rovers-fc-216,18,"{'name': None, 'number': -10}",0,wdlwlwllllwwwlwlwwllwlllldldlwldddldddlwd
18,141,17,23,29,27,40,46,56,-16,6,6,12,6,4,10,10,19,9,41,Stoke City FC,,Stoke City,stoke-city-fc,/clubs/stoke-city-fc-141,/clubs/stoke-city-fc-141,/clubs/stoke-city-fc-141,/clubs/stoke-city-fc-141,19,"{'name': None, 'number': -10}",0,wlwllldlwllwwwddlllldddwddwllllwllwlwlwdd
19,264,39,18,31,35,57,45,66,-9,8,3,11,5,7,12,11,19,8,42,Plymouth Argyle FC,,Plymouth Argyle,plymouth-argyle-fc,/clubs/plymouth-argyle-fc-264,/clubs/plymouth-argyle-fc-264,/clubs/plymouth-argyle-fc-264,/clubs/plymouth-argyle-fc-264,20,"{'name': None, 'number': -10}",0,wdllwllwdlldwldlwlwldwddlddwwldllwlldlllwd
20,217,25,21,38,31,46,43,69,-23,6,3,9,7,9,16,9,17,8,42,Huddersfield Town FC,,Huddersfield Town,huddersfield-town-fc,/clubs/huddersfield-town-fc-217,/clubs/huddersfield-town-fc-217,/clubs/huddersfield-town-fc-217,/clubs/huddersfield-town-fc-217,21,"{'name': None, 'number': -10}",0,lldlwwdddldwlldldwddldlwlldddwlwlwdlldldwl
21,214,23,12,40,26,35,43,66,-31,7,5,12,6,1,7,15,23,8,42,Sheffield Wednesday FC,,Sheffield Wednesday,sheffield-wednesday-fc,/clubs/sheffield-wednesday-fc-214,/clubs/sheffield-wednesday-fc-214,/clubs/sheffield-wednesday-fc-214,/clubs/sheffield-wednesday-fc-214,22,"{'name': 'Relegation', 'number': -1}",0,lllldldllldllwllldwwlwllwwlldlwlwwwwlldlwd
22,206,27,18,39,24,45,42,63,-18,8,3,11,6,3,9,15,21,6,41,Birmingham City FC,,Birmingham City,birmingham-city-fc,/clubs/birmingham-city-fc-206,/clubs/birmingham-city-fc-206,/clubs/birmingham-city-fc-206,/clubs/birmingham-city-fc-206,23,"{'name': 'Relegation', 'number': -1}",0,dwwwdlldlwwllldlwldlwldldldwllwwlldllllwl
23,212,19,13,56,26,32,23,82,-50,4,0,4,7,4,11,16,26,10,41,Rotherham United FC,,Rotherham United,rotherham-united-fc,/clubs/rotherham-united-fc-212,/clubs/rotherham-united-fc-212,/clubs/rotherham-united-fc-212,/clubs/rotherham-united-fc-212,24,"{'name': 'Relegation', 'number': -1}",0,ldllwlldlldwlddldldllllwddldllllllllldlwl
