,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,668368,Crystal Palace Ladies,7,9,4,5,9,8,9,4,2,3,3,0,0,3,6,3
0,668372,Charlton Athletic Ladies,5,2,3,1,9,1,5,6,1,2,4,2,0,1,3,4
0,10575,Sunderland Women,4,2,5,1,7,5,4,3,3,2,1,0,3,4,4,1
0,674276,Southampton W,8,8,5,1,4,6,4,3,5,5,3,1,5,2,0,4
0,10582,Birmingham City Women,8,6,3,1,4,4,5,2,0,2,2,2,5,2,4,2
0,668369,Blackburn Rovers Ladies,3,0,5,3,5,6,2,1,5,6,1,0,6,4,4,2
0,668375,Sheffield United Ladies,5,5,3,0,4,10,3,2,7,5,2,1,7,5,2,2
0,668371,London City Lionesses,3,9,3,0,4,2,3,2,9,6,3,2,7,2,3,4
0,668377,Durham Women,3,4,4,0,3,2,2,6,6,3,6,4,4,11,6,4
0,10583,Reading Women,0,1,2,1,1,5,5,5,4,8,6,2,7,7,5,1
0,668378,Lewes W,4,6,2,1,4,2,2,1,6,7,3,0,5,6,5,7
0,675594,Watford LFC,6,3,1,3,2,2,3,2,8,6,6,3,7,6,5,3
