,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,196511,9891,Alexandra Brooks,Alexandra,Brooks,Alexandra Brooks,alexandra-brooks,29,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/alexandra-brooks,668369,-1,-1,Goalkeeper,1890,990,900,790502400,England,eu,21,11,10,0,0,0,3,5,8,25,15,10,0,0,0,0,0,-1,0.0,0.0,0.0,38,0.0,0.0,0,1.19,76,2,2,0,90,945,0,0.1,156,145,33,23,1713618000
1,612880,9891,Jade Richards,Jade,Richards,Jade Richards,jade-richards,31,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/jade-richards,668369,-1,-1,Defender,970,630,340,721641600,England,eu,12,7,5,1,0,1,3,3,6,7,5,2,1,1,0,0,0,-1,0.19,0.09,0.09,50,0.0,0.26,970,0.65,139,1,1,0,81,970,970,0.09,93,77,12,7,1713618000
2,649682,9891,Helen Elizabeth Seed,Helen Elizabeth,Seed,Helen Elizabeth Seed,helen-elizabeth-seed,28,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/helen-elizabeth-seed,668369,-1,-1,Defender,787,457,330,824284800,England,eu,14,7,7,0,0,0,1,5,6,10,9,1,0,0,0,0,1,0,0.0,0.0,0.0,43,0.0,0.0,0,1.14,79,3,3,0,56,262,0,0.34,188,167,31,17,1699797600
3,693501,9891,Faith Nokuthula,Faith,Nokuthula,Faith Nokuthula,faith-nokuthula,0,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/faith-nokuthula,668369,-1,-1,Midfielder,791,404,387,0,England,eu,10,5,5,0,0,0,1,3,4,9,6,3,0,0,0,0,0,-1,0.0,0.0,0.0,40,0.0,0.0,0,1.02,88,1,1,0,79,791,0,0.11,187,168,-1,15,1699797600
4,843020,9891,Emma Taylor,Emma,Taylor,Emma Taylor,emma-taylor,21,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/emma-taylor,668369,-1,-1,Defender,346,192,154,1045641600,England,eu,9,4,5,0,0,0,2,3,5,2,1,1,0,0,0,0,0,-1,0.0,0.0,0.0,56,0.0,0.0,0,0.52,173,0,0,0,38,0,0,0.0,186,169,3,12,1711288800
5,598775,9891,Tyler Toland,Tyler,Toland,Tyler Toland,tyler-toland,22,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/republic-of-ireland/tyler-toland,668369,-1,-1,Midfielder,1703,983,720,997254000,Republic of Ireland,eu,19,11,8,1,0,1,3,4,7,22,15,7,3,1,2,0,0,-1,0.21,0.16,0.05,37,0.0,0.13,1703,1.16,77,4,4,0,90,426,568,0.21,114,34,-1,10,1713618000
6,691254,9891,Chloe Williams,Chloe,Williams,Chloe Williams,chloe-williams,23,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/wales/chloe-williams,668369,-1,-1,Midfielder,1094,554,540,977472000,Wales,eu,21,11,10,0,0,0,3,5,8,13,7,6,1,1,0,0,0,-1,0.08,0.08,0.0,38,0.0,0.0,0,1.07,84,2,2,0,52,547,1094,0.16,185,81,-1,11,1713618000
7,739377,9891,Millie Chandarana,Millie,Chandarana,Millie Chandarana,millie-chandarana,27,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/millie-chandarana,668369,-1,-1,Midfielder,1019,463,556,858067200,England,eu,21,11,10,1,0,1,3,5,8,12,6,6,1,1,0,0,0,-1,0.18,0.09,0.09,38,0.0,0.16,1019,1.06,85,1,1,0,49,1019,1019,0.09,95,71,-1,9,1713099600
8,639652,9891,Georgia Walters,Georgia,Walters,Georgia Walters,georgia-walters,31,-1,-1,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/wales/georgia-walters,668369,-1,-1,Midfielder,1122,612,510,734079600,Wales,eu,19,11,8,2,0,2,3,4,7,17,11,6,1,1,0,1,0,100,0.24,0.08,0.16,37,0.0,0.35,561,1.36,66,2,2,0,59,561,1122,0.16,54,83,-1,3,1713099600
9,681143,9891,Megan Hornby,Megan,Hornby,Megan Hornby,megan-hornby,33,180,68,FA Women's Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/megan-hornby,668369,-1,-1,Midfielder,1480,769,711,644137200,England,eu,18,10,8,7,5,2,3,4,7,16,8,8,5,2,3,0,0,-1,0.73,0.3,0.43,39,0.59,0.25,211,0.97,93,3,3,0,82,493,296,0.18,13,9,-1,1,1713618000
