,id,name,games,goals_scored,goals_conceded,xG_for,xG_against,shots_for,shots_against,shots_on_target_for,shots_on_target_against,yellow_cards,red_cards,fouls
0,10575,Sunderland Women,20,1.55,0.85,1.1664999999999999,1.084,8.55,8.3,4.55,3.75,1.3,0.0,0.6
0,668368,Crystal Palace Ladies,19,2.736842105263158,1.0526315789473684,1.7263157894736845,1.1610526315789473,12.368421052631579,8.052631578947368,7.315789473684211,4.315789473684211,1.368421052631579,-0.05263157894736842,1.0
0,674276,Southampton W,20,1.8,1.1,1.5824999999999998,1.0274999999999999,11.7,6.4,5.6,3.85,0.9,-0.05,1.25
0,668372,Charlton Athletic Ladies,19,1.4210526315789473,0.8947368421052632,1.44,1.148421052631579,10.526315789473685,8.31578947368421,5.2631578947368425,4.052631578947368,1.5263157894736843,-0.05263157894736842,-0.2631578947368421
0,10582,Birmingham City Women,19,1.6842105263157894,0.8947368421052632,1.974736842105263,1.0826315789473684,14.0,7.631578947368421,7.421052631578948,3.789473684210526,1.368421052631579,0.10526315789473684,0.15789473684210525
0,668375,Sheffield United Ladies,20,1.55,1.35,1.4789999999999999,1.4740000000000002,10.6,10.55,6.05,5.4,1.65,0.0,1.25
0,668369,Blackburn Rovers Ladies,19,1.105263157894737,1.4210526315789473,1.0221052631578948,1.5910526315789473,7.421052631578948,11.157894736842104,3.6842105263157894,6.0,1.3157894736842106,-0.10526315789473684,1.0526315789473684
0,668371,London City Lionesses,20,1.1,1.55,1.2555,1.452,9.15,11.35,4.55,5.95,1.65,0.1,2.2
0,668377,Durham Women,20,1.15,2.15,1.1315,1.4,8.4,10.8,4.55,5.9,2.05,0.0,0.65
0,10583,Reading Women,19,0.8947368421052632,1.9473684210526316,1.171578947368421,1.8421052631578947,8.0,13.052631578947368,4.631578947368421,7.157894736842105,1.0,-0.10526315789473684,0.631578947368421
0,668378,Lewes W,20,1.0,1.7,1.0625,1.3985,8.05,10.75,4.1,5.8,1.65,0.1,0.9
0,675594,Watford LFC,19,1.0,2.0526315789473686,1.2752631578947367,1.6178947368421053,9.473684210526315,11.789473684210526,4.526315789473684,6.2105263157894735,1.1578947368421053,-0.15789473684210525,0.5789473684210527
0,-1,#LEAGUE_AVERAGE#,234,1.4145299145299146,1.4145299145299146,1.3552991452991452,1.3552991452991452,9.841880341880342,9.841880341880342,5.17948717948718,5.17948717948718,1.4145299145299146,-0.017094017094017096,0.8418803418803419
