,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,84,Real Madrid,8,11,5,2,14,16,9,6,8,4,1,0,3,3,1,2
0,83,FC Barcelona,5,7,6,2,11,14,15,8,5,5,7,1,7,5,4,5
0,312,Girona FC,8,10,14,0,11,9,11,6,8,5,5,3,8,4,5,2
0,117,Atlético Madrid,8,9,7,5,10,9,12,2,6,7,6,0,6,9,1,4
0,285,Athletic Club Bilbao,7,10,8,3,5,11,5,4,6,3,3,0,6,8,6,1
0,290,Real Sociedad,7,4,9,2,4,9,6,5,4,7,4,2,5,2,5,6
0,284,Real Betis,7,4,5,4,8,5,6,2,2,5,9,2,4,7,6,4
0,288,Valencia CF,6,7,3,2,5,8,4,2,3,4,4,2,9,3,9,4
0,76,Villarreal,4,9,6,2,12,9,5,7,6,13,5,4,9,10,5,3
0,293,Getafe CF,7,5,10,2,4,3,8,2,9,2,9,2,9,8,3,3
0,287,CA Osasuna,7,5,3,0,6,5,6,5,5,10,2,2,6,11,11,2
0,98,Sevilla FC,8,4,6,1,6,8,5,4,7,10,5,1,7,3,10,3
0,277,Deportivo Alavés,6,2,5,0,9,1,6,2,3,4,11,1,4,3,9,3
0,276,UD Las Palmas,4,2,4,1,7,4,3,5,4,3,6,1,6,10,6,5
0,291,Rayo Vallecano,2,7,5,1,1,1,7,3,3,5,8,0,6,8,6,6
0,298,RCD Mallorca,7,0,4,2,3,2,5,4,7,3,5,3,4,10,4,3
0,281,Celta de Vigo,2,9,6,0,5,6,6,3,5,7,6,2,6,6,12,6
0,310,Cádiz,4,8,1,0,4,2,2,2,9,4,3,1,9,10,4,6
0,282,Granada CF,4,5,5,2,4,9,4,3,8,10,11,4,9,6,11,2
0,296,Almería,6,4,7,1,3,7,2,2,9,11,9,1,9,12,9,7
