,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,272,Portsmouth,9,7,13,5,12,11,9,5,4,10,4,1,4,4,7,2
0,213,Derby County,4,12,13,3,14,6,19,1,3,3,6,2,5,7,8,3
0,226,Bolton Wanderers,12,10,13,1,11,15,8,8,5,6,7,1,8,8,6,4
0,250,Peterborough United,5,10,14,4,14,15,11,7,4,5,12,1,11,7,7,3
0,215,Barnsley,6,12,10,2,13,14,12,6,13,7,6,2,7,9,8,3
0,243,Oxford United,10,12,8,3,12,6,14,6,4,10,5,1,5,9,14,5
0,1021,Lincoln City,12,7,4,1,12,9,12,4,4,5,2,1,5,7,8,3
0,228,Blackpool,3,17,8,0,11,9,6,5,5,6,10,0,6,5,10,1
0,258,Stevenage,9,8,6,5,6,7,10,2,6,5,8,1,6,6,8,2
0,255,Leyton Orient,2,9,9,2,13,3,7,5,5,8,6,4,7,5,10,5
0,242,Northampton Town,5,9,8,1,8,3,10,11,11,10,4,1,7,14,11,3
0,268,Exeter City,5,4,7,1,6,7,7,2,6,6,9,3,5,10,12,5
0,219,Reading,7,6,14,5,7,7,14,1,6,9,14,3,8,8,7,8
0,221,Wigan Athletic,6,9,10,2,4,14,10,2,8,10,8,2,9,5,7,5
0,266,Wycombe Wanderers,4,10,6,1,8,9,10,3,5,5,7,3,4,10,9,9
0,225,Charlton Athletic,4,10,8,2,6,15,13,4,4,12,8,1,8,12,11,6
0,244,Bristol Rovers,5,10,3,2,6,7,8,7,8,13,8,0,12,4,14,4
0,245,Shrewsbury Town,7,2,5,3,7,1,3,3,6,6,8,2,10,12,9,6
0,261,Cambridge United,6,4,4,0,3,8,9,3,6,7,9,1,14,9,10,1
0,208,Burton Albion,4,5,4,0,8,5,5,2,4,10,8,3,11,12,9,2
0,247,Port Vale,1,5,8,0,7,6,7,4,7,6,7,3,16,9,10,8
0,260,Cheltenham Town,3,4,8,1,5,6,6,1,4,10,9,3,9,6,13,3
0,240,Fleetwood Town,7,5,8,1,3,6,7,5,8,17,12,4,11,7,6,3
0,257,Carlisle United,3,9,3,0,5,8,7,5,3,10,17,2,13,12,10,8
