,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,9341,9582,Liam Roberts,Liam,Roberts,Liam Roberts,liam-roberts,29,183,82,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/liam-roberts,215,-1,-1,Goalkeeper,3060,1620,1440,785404800,England,eu,34,18,16,0,0,0,3,5,8,41,27,14,1,0,1,0,0,-1,0.03,0.03,0.0,24,0.0,0.0,0,1.21,75,2,2,0,90,1530,3060,0.06,572,302,111,22,1712688300
1,7614,9582,Corey James John O'Keeffe,Corey James John,O'Keeffe,Corey O'Keeffe,corey-okeeffe,25,184,70,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/republic-of-ireland/corey-okeeffe,215,-1,-1,Defender,1830,811,1019,897030000,Republic of Ireland,eu,35,19,16,3,2,1,5,4,9,25,11,14,6,4,2,0,0,-1,0.44,0.3,0.15,26,0.22,0.09,610,1.23,73,5,5,0,52,366,305,0.25,173,24,122,6,1711980000
2,39243,9582,Jordan Williams,Jordan,Williams,Jordan Williams,jordan-williams,24,179,75,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/jordan-williams,215,-1,-1,Defender,3700,1810,1890,940575600,England,eu,42,21,21,1,0,1,5,5,10,52,29,23,3,1,2,0,0,-1,0.1,0.07,0.02,24,0.0,0.05,3700,1.26,71,5,5,0,88,740,1233,0.12,351,224,133,19,1712688300
3,143230,9582,Liam Kitching,Liam,Kitching,Liam Kitching,liam-kitching,24,191,80,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/liam-kitching,215,-1,-1,Defender,345,255,90,938761200,England,eu,4,3,1,1,1,0,1,0,1,7,6,1,0,0,0,0,0,-1,0.26,0.0,0.26,25,0.35,0.0,345,1.83,49,0,0,0,86,0,0,0.0,87,465,211,18,1692453600
4,193508,9582,Kacper Mieczyslaw Łopata,Kacper Mieczyslaw,Łopata,Kaspar Lopata,kaspar-lopata,22,192,-1,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/poland/kaspar-lopata,215,247,-1,Defender,1265,676,589,998895600,Poland,eu,18,9,9,0,0,0,2,2,4,22,13,9,0,0,0,0,0,-1,0.0,0.0,0.0,22,0.0,0.0,0,1.57,58,1,1,0,70,1265,0,0.07,397,464,199,21,1709391600
5,43330,9582,Nicholas Cadden,Nicholas,Cadden,Nicky Cadden,nicky-cadden,27,178,70,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/scotland/nicky-cadden,215,-1,-1,Midfielder,2922,1380,1542,843116400,Scotland,eu,40,20,20,2,0,2,5,5,10,41,22,19,4,3,1,0,0,-1,0.18,0.12,0.06,25,0.0,0.12,1461,1.26,71,3,3,0,73,974,731,0.09,293,134,-1,11,1712688300
6,123435,9582,Herbert Kane,Herbert,Kane,Herbie Kane,herbie-kane,25,173,67,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/herbie-kane,215,-1,-1,Midfielder,3119,1639,1480,911808000,England,eu,37,19,18,8,3,5,4,5,9,37,23,14,5,3,2,4,0,100,0.38,0.14,0.23,24,0.16,0.3,390,1.07,84,10,10,0,84,312,624,0.29,103,116,-1,4,1711980000
7,120115,9582,Jonathan Russell,Jonathan,Russell,Jonathan Russell,jonathan-russell,23,193,88,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/jonathan-russell,215,-1,-1,Midfielder,1853,702,1151,971074800,England,eu,30,13,17,3,1,2,4,5,9,26,11,15,0,0,0,0,0,-1,0.15,0.0,0.15,30,0.13,0.16,618,1.26,71,5,5,0,62,371,0,0.24,167,463,-1,10,1712688300
8,8777,9582,Devante Lavon Andrew Cole,Devante Lavon Andrew,Cole,Devante Cole,devante-cole,28,185,82,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/devante-cole,215,-1,-1,Forward,3271,1704,1567,800089200,England,eu,42,21,21,17,11,6,5,5,10,40,23,17,3,1,2,0,1,0,0.55,0.08,0.47,24,0.58,0.34,192,1.1,82,4,4,0,78,818,1090,0.11,25,216,-1,1,1712412000
9,9071,9582,Callum Styles,Callum,Styles,Callum Styles,callum-styles,24,167,60,EFL League One,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/callum-styles,215,-1,-1,Forward,1419,773,646,954230400,England,eu,20,11,9,3,2,1,3,3,6,17,10,7,2,1,1,0,0,-1,0.32,0.13,0.19,30,0.23,0.14,473,1.08,83,7,7,0,71,203,710,0.44,133,129,-1,9,1705434300
