,id,seasonGoals_home,seasonGoals_away,seasonConceded_away,seasonConceded_home,seasonGoals,points,seasonConceded,seasonGoalDifference,seasonWins_home,seasonWins_away,seasonWins_overall,seasonDraws_home,seasonDraws_away,seasonDraws_overall,seasonLosses_away,seasonLosses_overall,seasonLosses_home,matchesPlayed,name,country,cleanName,shortHand,url,seasonURL_overall,seasonURL_home,seasonURL_away,position,zone,corrections,wdl_record,points_original
0,272,43,33,14,27,76,94,41,35,15,12,27,5,8,13,2,5,3,45,Portsmouth FC,,Portsmouth,portsmouth-fc,/clubs/portsmouth-fc-272,/clubs/portsmouth-fc-272,/clubs/portsmouth-fc-272,/clubs/portsmouth-fc-272,1,"{'name': 'Promotion', 'number': 1}",0,dwwddwdwwwwwwdwdlwwwwdldwllwwdwwwwdwdwwwdwdwl,
1,213,39,37,19,18,76,89,37,39,14,13,27,4,4,8,6,10,4,45,Derby County FC,,Derby County,derby-county-fc,/clubs/derby-county-fc-213,/clubs/derby-county-fc-213,/clubs/derby-county-fc-213,/clubs/derby-county-fc-213,2,"{'name': 'Promotion', 'number': 1}",0,lwlwwldwdwdlwlwwwwwdwwwlwwdlwwdwwllwwwwlwddww,
2,226,52,31,21,27,83,86,48,35,15,10,25,5,6,11,6,9,3,45,Bolton Wanderers FC,,Bolton Wanderers,bolton-wanderers-fc,/clubs/bolton-wanderers-fc-226,/clubs/bolton-wanderers-fc-226,/clubs/bolton-wanderers-fc-226,/clubs/bolton-wanderers-fc-226,3,"{'name': 'Promotion Play-off', 'number': 2}",0,wwwldwldwwlwwwwwwdllwwwwlwwddwdwllwddwldwwddw,
3,250,52,34,33,25,86,83,58,28,13,12,25,4,4,8,7,12,5,45,Peterborough United FC,,Peterborough United,peterborough-united-fc,/clubs/peterborough-united-fc-250,/clubs/peterborough-united-fc-250,/clubs/peterborough-united-fc-250,/clubs/peterborough-united-fc-250,4,"{'name': 'Promotion Play-off', 'number': 2}",0,wwwllldwdwdwdwwlwwdwwwddwwwdllllwwwwwllwwlwwl,
4,215,37,44,31,32,81,75,63,18,9,12,21,6,6,12,5,12,7,45,Barnsley FC,,Barnsley,barnsley-fc,/clubs/barnsley-fc-215,/clubs/barnsley-fc-215,/clubs/barnsley-fc-215,/clubs/barnsley-fc-215,5,"{'name': 'Promotion Play-off', 'number': 2}",0,wdllwwwlwlwwdwdldwwdwwddwwwldwdwwwdlwdlwlldll,
5,1021,36,29,23,15,65,74,38,27,10,10,20,7,7,14,6,11,5,45,Lincoln City FC,,Lincoln City,lincoln-city-fc,/clubs/lincoln-city-fc-1021,/clubs/lincoln-city-fc-1021,/clubs/lincoln-city-fc-1021,/clubs/lincoln-city-fc-1021,6,"{'name': 'Promotion Play-off', 'number': 2}",0,lwdwwddlwllwwdldlwdwddlllldddwwdwwwdwwwwwdlww,
6,243,44,33,31,24,77,74,55,22,11,10,21,7,4,11,8,13,5,45,Oxford United FC,,Oxford United,oxford-united-fc,/clubs/oxford-united-fc-243,/clubs/oxford-united-fc-243,/clubs/oxford-united-fc-243,/clubs/oxford-united-fc-243,7,"{'name': None, 'number': -10}",0,lwwwwlwwwwwdldwwldldwlwlwwlldddwddllwlwdwwwld,
7,228,43,20,26,19,63,73,45,18,14,7,21,6,4,10,11,14,3,45,Blackpool FC,,Blackpool,blackpool-fc,/clubs/blackpool-fc-228,/clubs/blackpool-fc-228,/clubs/blackpool-fc-228,/clubs/blackpool-fc-228,8,"{'name': None, 'number': -10}",0,wdddlwlwwldwdwldlwwlwlwllwwwdldlwwlwdwlldwwww,
8,258,25,30,27,18,55,68,45,10,9,9,18,8,6,14,8,13,5,45,Stevenage FC,,Stevenage,stevenage-fc,/clubs/stevenage-fc-258,/clubs/stevenage-fc-258,/clubs/stevenage-fc-258,/clubs/stevenage-fc-258,9,"{'name': None, 'number': -10}",0,wwwldwddwllwlddwwwwdwdlwlwwwldllwwddlldddlwld,
9,266,30,29,27,28,59,62,55,4,8,8,16,7,7,14,8,15,7,45,Wycombe Wanderers FC,,Wycombe Wanderers,wycombe-wanderers-fc,/clubs/wycombe-wanderers-fc-266,/clubs/wycombe-wanderers-fc-266,/clubs/wycombe-wanderers-fc-266,/clubs/wycombe-wanderers-fc-266,10,"{'name': None, 'number': -10}",0,llwdwwwlwlwdlddllllddldwddldwwldlwlwwwlddwwwd,
10,255,26,24,23,31,50,62,54,-4,9,8,17,5,6,11,8,17,9,45,Leyton Orient FC,,Leyton Orient,leyton-orient-fc,/clubs/leyton-orient-fc-255,/clubs/leyton-orient-fc-255,/clubs/leyton-orient-fc-255,/clubs/leyton-orient-fc-255,11,"{'name': None, 'number': -10}",0,llldwlwdwlwwdddllddlwlwdwwwdwwlwlwwlldwllwdll,
11,268,16,29,39,20,45,61,59,-14,7,10,17,8,2,10,11,18,7,45,Exeter City FC,,Exeter City,exeter-city-fc,/clubs/exeter-city-fc-268,/clubs/exeter-city-fc-268,/clubs/exeter-city-fc-268,/clubs/exeter-city-fc-268,12,"{'name': None, 'number': -10}",0,wdlwwwlwlllllldlldldlwdlwldwwlwwlldldwwdwwdww,
12,221,28,33,38,18,61,59,56,5,12,7,19,4,6,10,10,16,6,45,Wigan Athletic FC,,Wigan Athletic,wigan-athletic-fc,/clubs/wigan-athletic-fc-221,/clubs/wigan-athletic-fc-221,/clubs/wigan-athletic-fc-221,/clubs/wigan-athletic-fc-221,13,"{'name': None, 'number': -10}",0,wwdwllwllllwwwlwddwdlllwddwwlwllwdwlwlwdlddww,67.0
13,242,31,25,42,23,56,59,65,-9,11,6,17,5,3,8,13,20,7,45,Northampton Town FC,,Northampton Town,northampton-town-fc,/clubs/northampton-town-fc-242,/clubs/northampton-town-fc-242,/clubs/northampton-town-fc-242,/clubs/northampton-town-fc-242,14,"{'name': None, 'number': -10}",0,lldwwlllwwlldllwwwlwdwlwwdwlldlwdwdldllwlwwll,
14,244,27,25,37,29,52,57,66,-14,8,8,16,6,3,9,11,20,9,45,Bristol Rovers FC,,Bristol Rovers,bristol-rovers-fc,/clubs/bristol-rovers-fc-244,/clubs/bristol-rovers-fc-244,/clubs/bristol-rovers-fc-244,/clubs/bristol-rovers-fc-244,15,"{'name': None, 'number': -10}",0,ddwlldwwlwlldwdwlddwlwwllllwwllwlwwldlldllwwl,
15,219,36,29,46,22,65,55,68,-3,11,4,15,5,6,11,13,19,6,45,Reading FC,,Reading,reading-fc,/clubs/reading-fc-219,/clubs/reading-fc-219,/clubs/reading-fc-219,/clubs/reading-fc-219,16,"{'name': None, 'number': -10}",0,llwwllwldllllldlwwlddwddwlwddwwdlwlwllwwldwdl,56.0
16,225,37,27,33,31,64,53,64,0,8,3,11,8,12,20,7,14,7,45,Charlton Athletic FC,,Charlton Athletic,charlton-athletic-fc,/clubs/charlton-athletic-fc-225,/clubs/charlton-athletic-fc-225,/clubs/charlton-athletic-fc-225,/clubs/charlton-athletic-fc-225,17,"{'name': None, 'number': -10}",0,wllllwdwdwdwllwddwdddllldllldlldddwdwwdddwddd,
