,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,3143,Stockport County,17,12,9,6,15,11,11,5,4,5,7,3,7,8,6,2
0,1837,Wrexham,10,13,17,4,6,12,16,6,8,9,7,1,11,4,8,3
0,267,Mansfield Town,11,15,11,4,11,17,12,4,11,6,5,1,12,4,3,2
0,227,Milton Keynes Dons,17,15,8,1,8,9,11,5,9,8,10,4,12,3,6,9
0,252,Crewe Alexandra,11,11,5,2,13,12,7,7,9,17,8,1,9,7,7,3
0,1833,Barrow,8,10,4,1,10,5,14,5,5,6,10,6,7,9,4,1
0,254,Crawley Town,13,8,8,0,9,12,10,8,7,15,6,2,9,11,9,5
0,231,Doncaster Rovers,12,10,6,0,11,12,6,6,8,10,10,2,10,7,11,5
0,238,Gillingham,4,7,4,2,9,8,7,2,8,6,10,0,6,11,9,3
0,241,AFC Wimbledon,9,7,7,2,7,9,11,5,10,4,0,1,10,12,8,2
0,236,Walsall,3,9,9,4,14,11,9,5,12,11,4,2,11,11,9,4
0,3124,Harrogate Town,2,7,6,1,10,15,10,4,4,11,10,2,12,11,7,5
0,248,Bradford City,4,8,9,1,11,7,9,3,15,8,6,4,5,3,10,4
0,256,Notts County,13,11,17,5,12,17,5,6,11,13,7,1,11,14,18,5
0,270,Morecambe,11,6,5,1,10,15,9,6,15,12,6,3,12,12,12,4
0,265,Newport County,10,9,9,3,9,12,7,2,10,14,8,1,13,10,8,7
0,259,Tranmere Rovers,14,11,6,0,13,10,7,2,11,10,7,2,8,13,9,4
0,263,Accrington Stanley,7,8,5,1,11,6,11,7,9,10,7,1,12,14,8,3
0,234,Swindon Town,5,16,10,1,16,8,10,7,13,5,7,1,16,14,9,11
0,3141,Salford City,12,7,8,3,12,5,10,6,7,11,18,5,9,13,13,4
0,273,Grimsby Town,8,11,10,2,10,6,6,2,11,6,14,3,9,12,11,4
0,253,Colchester United,10,5,9,1,8,11,6,5,8,6,14,1,9,14,11,11
0,1827,Sutton United,7,7,8,4,5,10,10,2,10,11,5,4,11,17,15,5
0,1020,Forest Green Rovers,7,5,6,2,3,9,7,2,10,14,10,0,12,15,10,6
