,id,homeID,awayID,season,status,roundID,game_week,revised_game_week,homeGoals,awayGoals,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_offsides,team_b_offsides,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,refereeID,coach_a_ID,coach_b_ID,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_team_a_cs_yes,odds_team_a_cs_no,odds_team_b_cs_yes,odds_team_b_cs_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,odds_1st_half_result_1,odds_1st_half_result_x,odds_1st_half_result_2,odds_2nd_half_result_1,odds_2nd_half_result_x,odds_2nd_half_result_2,odds_dnb_1,odds_dnb_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2,odds_team_to_score_first_1,odds_team_to_score_first_x,odds_team_to_score_first_2,odds_win_to_nil_1,odds_win_to_nil_2,odds_1st_half_over05,odds_1st_half_over15,odds_1st_half_over25,odds_1st_half_over35,odds_1st_half_under05,odds_1st_half_under15,odds_1st_half_under25,odds_1st_half_under35,odds_2nd_half_over05,odds_2nd_half_over15,odds_2nd_half_over25,odds_2nd_half_over35,odds_2nd_half_under05,odds_2nd_half_under15,odds_2nd_half_under25,odds_2nd_half_under35,odds_btts_1st_half_yes,odds_btts_1st_half_no,odds_btts_2nd_half_yes,odds_btts_2nd_half_no,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,btts_fhg_potential,btts_2hg_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o45_potential,o35_potential,o25_potential,o15_potential,o05_potential,o15HT_potential,o05HT_potential,o05_2H_potential,o15_2H_potential,corners_potential,offsides_potential,cards_potential,avg_potential,home_url,home_image,home_name,away_url,away_image,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u45_potential,u35_potential,u25_potential,u15_potential,u05_potential,corners_o85_potential,corners_o95_potential,corners_o105_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,match_url,competition_id,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,homeGoals_timings,awayGoals_timings
0,6582122,263,265,2023/2024,complete,100252,1,-1,"['24', '80', '90+4']",[],3,0,3,7,4,11,4,3,2,0,0,0,9,3,5,10,14,13,12,14,56,44,1491.0,559,12724,"Wham Stadium (Accrington, Lancashire)",,2,0,2.25,3.3,3.1,1.06,1.35,2.07,3.75,7.5,8.5,3.1,1.68,1.25,1.08,1.83,1.83,2.75,1.38,3.2,1.3,1.44,1.28,1.55,3.2,2.05,3.5,2.75,2.35,3.1,0,0,1.25,1.47,1.9,2.4,3.4,3.5,2.4,1.9,1.46,1.26,1.91,8.0,2.1,1.83,8.2,2.2,0.0,0.0,1.44,3.25,9.0,26.0,2.63,1.33,1.07,1.01,1.25,2.25,5.5,15.0,3.75,1.57,1.14,1.03,0,0,0,0,3,1,0,2,0,2,1,1691244000,263,0,0,0,0,0,-1,1,1,4,3,3,1,7,4,2,0,0,0,2,0,1,37,58,113,112,1.79,1.46,3.25,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,28,49,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/accrington-stanley-fc-263,teams/england-accrington-stanley-fc.png,Accrington Stanley,/clubs/newport-county-afc-265,teams/wales-newport-county-afc.png,Newport County,1.45,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/accrington-stanley-fc-vs-newport-county-afc-h2h-stats#6582122,9581,44,True,True,True,False,False,False,False,"['24', '80', '90+4']",[]
1,6582123,253,234,2023/2024,complete,100252,1,-1,"['49', '64', '90+3']",['23'],3,1,4,4,4,8,0,2,1,2,0,0,3,4,5,7,8,11,3,17,57,43,1382.0,43197,582,"JobServe Community Stadium (Colchester, Essex)",,1,2,2.75,3.75,2.3,1.06,1.38,1.44,2.35,8.0,8.5,3.0,2.29,1.6,1.07,1.83,1.83,2.8,1.38,3.1,1.31,1.42,1.28,1.57,3.2,2.05,3.6,2.75,2.33,3.1,0,0,1.18,1.35,1.63,2.1,2.8,4.2,2.8,2.05,1.62,1.36,1.82,8.0,2.39,1.83,8.0,2.2,6.0,4.75,1.44,3.25,10.0,26.0,2.63,1.33,1.06,1.01,1.29,2.25,5.5,15.0,3.5,1.57,1.14,1.03,0,0,0,0,4,0,1,3,0,3,1,1699386300,253,0,73,34,47,0,-1,1,1,3,2,1,2,5,3,0,2,1,0,2,1,1,43,54,72,83,1.03,1.36,2.39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,21,-1,-1,-1,-1,-1,-1,27,53,66,88,94,40,73,94,67,11.27,3.2,5.89,3.87,/clubs/colchester-united-fc-253,teams/england-colchester-united-fc.png,Colchester United,/clubs/swindon-town-fc-234,teams/england-swindon-town-fc.png,Swindon Town,1.14,0.73,1.0,0.88,1.07,1.53,73,48,34,13,7,81,60,60,1.64,1.44,3.08,/england/swindon-town-fc-vs-colchester-united-fc-h2h-stats#6582123,9581,43,True,True,True,True,False,False,True,"['49', '64', '90+3']",['23']
2,6582124,254,248,2023/2024,complete,100252,1,-1,['14'],[],1,0,1,2,4,6,4,3,6,4,0,1,4,8,12,1,16,9,14,15,55,45,11696.0,45010,203,"Broadfield Stadium (Crawley, West Sussex)",,6,5,3.0,3.4,2.25,1.05,1.33,2.07,3.6,7.0,9.0,3.25,1.68,1.28,1.09,1.83,1.83,3.7,1.24,2.5,1.46,1.78,1.25,1.3,4.33,2.1,2.75,3.75,2.37,2.3,0,0,1.18,1.35,1.63,2.1,2.8,4.2,2.8,2.05,1.62,1.35,2.1,8.0,1.91,2.5,8.4,1.62,0.0,0.0,1.44,3.25,9.0,26.0,2.63,1.33,1.07,1.01,1.25,2.2,5.0,15.0,3.75,1.62,1.17,1.03,0,0,0,0,1,1,0,0,0,0,1,1691244000,254,0,0,0,0,0,3883,1,1,2,3,0,1,5,1,3,3,3,2,6,5,1,46,56,98,90,1.62,1.54,3.16,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,25,30,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/crawley-town-fc-254,teams/england-crawley-town-fc.png,Crawley Town,/clubs/bradford-city-afc-248,teams/england-bradford-city-afc.png,Bradford City,1.5,1.33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/bradford-city-afc-vs-crawley-town-fc-h2h-stats#6582124,9581,43,True,False,False,False,False,False,False,['14'],[]
3,6582125,252,267,2023/2024,complete,100252,1,-1,"['32', '60']","['22', '26']",2,2,4,8,4,12,1,1,2,4,0,1,4,10,4,6,8,16,8,16,51,49,39902.0,46538,408,"Mornflake Stadium (Crewe, Cheshire)",,2,6,2.9,3.3,2.35,1.04,1.3,1.91,3.4,6.5,12.0,3.5,1.81,1.33,1.1,1.83,1.83,4.2,1.2,2.55,1.44,1.95,1.22,1.25,4.75,2.2,2.38,4.33,2.45,2.1,0,0,1.18,1.35,1.63,2.1,2.8,4.2,2.8,2.05,1.62,1.35,3.19,9.0,1.45,2.75,9.5,1.5,0.0,0.0,1.36,2.75,8.0,21.0,3.0,1.4,1.08,1.02,1.22,2.1,4.5,13.0,4.0,1.67,1.18,1.04,0,0,0,0,4,1,2,1,0,1,3,1691244000,-1,0,0,0,0,0,-1,1,1,7,3,1,1,10,2,1,0,1,5,1,6,1,49,74,112,118,1.15,2.25,3.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,21,22,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/crewe-alexandra-fc-252,teams/england-crewe-alexandra-fc.png,Crewe Alexandra,/clubs/mansfield-town-fc-267,teams/england-mansfield-town-fc.png,Mansfield Town,1.73,1.77,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/crewe-alexandra-fc-vs-mansfield-town-fc-h2h-stats#6582125,9581,44,True,True,True,True,False,False,True,"['32', '60']","['22', '26']"
4,6582126,231,3124,2023/2024,complete,100252,1,-1,[],['66'],0,1,1,6,5,11,2,1,1,4,0,0,4,7,4,1,8,8,8,11,56,44,42688.0,489,6273,"Eco-Power Stadium (Doncaster, South Yorkshire)",,1,4,1.8,3.4,4.5,1.05,1.33,1.96,3.75,7.0,11.0,3.25,1.77,1.28,1.09,1.8,1.91,2.65,1.41,3.5,1.26,1.35,1.25,1.72,2.88,2.1,3.75,2.5,2.37,3.25,0,0,1.25,1.47,1.95,2.4,3.4,3.5,2.4,1.85,1.46,1.26,1.69,8.0,2.63,1.73,8.5,2.38,0.0,0.0,1.44,3.0,9.0,23.0,2.63,1.36,1.07,1.01,1.25,2.2,5.0,13.0,3.75,1.62,1.17,1.04,0,0,0,0,1,0,0,0,1,1,0,1691244000,3124,0,0,0,0,0,-1,1,1,1,3,4,2,4,6,0,0,1,4,0,5,1,50,91,119,156,1.16,1.67,2.83,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,51,32,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/doncaster-rovers-fc-231,teams/england-doncaster-rovers-fc.png,Doncaster Rovers,/clubs/harrogate-town-fc-3124,teams/england-harrogate-town-fc.png,Harrogate Town,1.86,1.45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/doncaster-rovers-fc-vs-harrogate-town-fc-h2h-stats#6582126,9581,43,True,False,False,False,False,False,False,[],['66']
5,6582127,1020,3141,2023/2024,complete,100252,1,-1,[],"['52', '90+5']",0,2,2,9,4,13,0,4,3,3,0,0,5,4,7,1,12,5,16,8,50,50,1465.0,33116,29642,"The Bolt New Lawn (Nailsworth, Gloucestershire)",,3,3,2.4,3.25,2.9,1.04,1.3,1.86,3.3,6.5,12.0,3.5,1.86,1.33,1.11,1.73,2.0,3.5,1.25,3.0,1.34,1.66,1.25,1.38,3.6,2.2,3.0,3.1,2.45,2.6,0,0,1.25,1.47,1.9,2.4,3.4,3.5,2.4,1.9,1.46,1.26,2.0,8.0,2.0,2.25,9.5,1.73,0.0,0.0,1.4,2.75,8.0,21.0,2.75,1.4,1.08,1.02,1.22,2.0,4.33,11.0,4.0,1.73,1.2,1.05,0,0,0,0,2,0,0,0,2,2,0,1691244000,3141,0,0,0,0,0,-1,1,1,4,3,4,1,7,5,1,1,2,2,2,4,1,49,40,114,79,1.47,0.89,2.36,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,20,19,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/forest-green-rovers-fc-1020,teams/england-forest-green-rovers-fc.png,Forest Green Rovers,/clubs/salford-city-fc-3141,teams/england-salford-city-fc.png,Salford City,0.73,1.14,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/forest-green-rovers-fc-vs-salford-city-fc-h2h-stats#6582127,9581,44,True,True,False,False,False,False,False,[],"['52', '90+5']"
6,6582128,273,241,2023/2024,complete,100252,1,-1,[],[],0,0,0,8,5,13,3,5,4,3,0,0,6,5,6,5,12,10,7,8,62,38,29466.0,27267,38783,"Blundell Park (Cleethorpes, North East Lincolnshire)",,4,3,2.0,3.3,3.75,1.06,1.36,2.02,3.75,7.5,10.0,3.2,1.73,1.25,1.08,1.8,1.91,2.5,1.48,3.8,1.22,1.25,1.25,1.85,2.63,2.1,4.33,2.3,2.3,3.75,0,0,1.25,1.45,2.0,2.32,3.1,3.42,2.55,1.8,1.54,1.32,1.69,8.0,2.63,1.62,8.6,2.6,0.0,0.0,1.4,3.0,8.0,23.0,2.75,1.36,1.08,1.01,1.25,2.1,4.5,13.0,3.75,1.67,1.18,1.04,0,0,0,0,0,0,0,0,0,0,0,1691244000,-1,0,0,0,0,0,-1,1,1,2,4,6,1,6,7,0,0,4,3,0,7,1,57,42,128,89,1.6,1.29,2.89,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,35,32,-1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/grimsby-town-fc-273,teams/england-grimsby-town-fc.png,Grimsby Town,/clubs/afc-wimbledon-241,teams/england-afc-wimbledon.png,AFC Wimbledon,1.32,1.18,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/afc-wimbledon-vs-grimsby-town-fc-h2h-stats#6582128,9581,44,False,False,False,False,False,False,False,[],[]
7,6582129,270,236,2023/2024,complete,100252,1,-1,"['25', '90+2']",['38'],2,1,3,5,3,8,0,2,6,4,0,0,6,2,1,7,7,9,10,7,49,51,1253.0,568,48109,"Mazuma Stadium (Morecambe, Lancashire)",,6,4,3.1,3.3,2.25,1.06,1.38,2.14,4.0,8.0,9.5,3.0,1.65,1.22,1.07,1.83,1.83,2.9,1.36,3.0,1.33,1.47,1.28,1.5,3.25,2.05,3.5,2.75,2.15,3.0,0,0,1.24,1.46,1.8,2.32,3.08,3.48,2.52,2.0,1.54,1.3,2.44,8.0,1.75,1.83,7.9,2.2,0.0,0.0,1.44,3.4,10.0,26.0,2.63,1.3,1.06,1.01,1.29,2.25,5.5,15.0,3.5,1.57,1.14,1.03,0,0,0,0,3,1,1,1,0,1,2,1691244000,270,0,0,0,0,0,-1,1,1,4,2,1,1,6,2,2,2,4,2,4,6,1,33,77,106,125,1.12,1.27,2.39,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,41,39,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/morecambe-fc-270,teams/england-morecambe-fc.png,Morecambe,/clubs/walsall-fc-236,teams/england-walsall-fc.png,Walsall,1.41,1.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/walsall-fc-vs-morecambe-fc-h2h-stats#6582129,9581,44,True,True,True,False,False,False,True,"['25', '90+2']",['38']
8,6582130,3143,238,2023/2024,complete,100252,1,-1,[],['86'],0,1,1,6,1,7,2,0,0,5,0,0,4,4,8,2,12,6,12,10,57,43,37451.0,3885,472,"Edgeley Park (Stockport, Greater Manchester)",,0,5,1.8,3.5,4.35,1.07,1.42,2.23,4.33,8.5,8.5,2.9,1.6,1.2,1.06,2.1,1.67,2.1,1.67,3.8,1.22,1.18,1.25,2.05,2.5,2.05,5.5,2.1,2.15,4.75,0,0,1.37,1.72,2.22,3.0,3.56,2.85,2.0,1.59,1.34,1.23,1.37,9.0,3.83,1.5,7.4,3.0,0.0,0.0,1.5,3.4,10.0,17.0,2.5,1.3,1.06,1.01,1.3,2.5,6.0,17.0,3.4,1.5,1.13,1.03,0,0,0,0,1,0,0,0,1,1,0,1691244000,238,0,0,0,0,0,-1,1,1,2,1,4,0,3,4,0,2,0,3,2,3,1,69,44,102,104,1.54,0.99,2.53,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,38,28,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/stockport-county-fc-3143,teams/england-stockport-county-fc.png,Stockport County,/clubs/gillingham-fc-238,teams/england-gillingham-fc.png,Gillingham,2.14,1.27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/gillingham-fc-vs-stockport-county-fc-h2h-stats#6582130,9581,44,True,False,False,False,False,False,False,[],['86']
9,6582131,1827,256,2023/2024,complete,100252,1,-1,"['2', '23', '50', '63', '78']",['69'],5,1,6,4,5,9,3,2,3,3,0,1,7,4,6,4,13,8,18,8,30,70,29437.0,29474,494,"VBS Community Stadium (Sutton, Surrey)",,3,5,5.0,3.5,1.7,1.02,1.18,1.64,2.5,4.33,19.0,4.75,2.16,1.53,1.2,1.57,2.25,5.25,1.13,2.75,1.39,2.1,1.18,1.22,4.5,2.38,2.3,4.33,2.85,2.0,0,0,1.18,1.26,1.49,1.93,2.4,4.3,3.3,2.37,1.88,1.47,3.06,9.0,1.51,2.75,17.0,1.5,0.0,0.0,1.3,2.38,6.0,17.0,3.4,1.53,1.13,1.03,1.17,1.8,3.5,9.0,5.0,1.91,1.29,1.07,0,0,0,0,6,2,0,3,1,4,2,1691244000,1827,0,0,0,0,0,-1,1,1,3,5,1,0,8,1,3,3,0,1,6,1,1,41,48,62,118,1.6,1.15,2.75,0,0,0,0,0,0,1,1,1,0,2,0,2,1,1,14,24,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/sutton-united-fc-1827,teams/england-sutton-united-fc.png,Sutton United,/clubs/notts-county-fc-256,teams/england-notts-county-fc.png,Notts County,1.05,1.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/notts-county-fc-vs-sutton-united-fc-h2h-stats#6582131,9581,44,True,True,True,True,True,True,True,"['2', '23', '50', '63', '78']",['69']
