,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,60248,9581,Toby Savin,Toby,Savin,Toby Savin,toby-savin,22,194,80,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/toby-savin,263,-1,-1,Goalkeeper,765,450,315,988959600,England,eu,9,5,4,0,0,0,1,0,1,11,6,5,0,0,0,0,0,-1,0.0,0.0,0.0,11,0.0,0.0,0,1.29,70,2,2,0,85,383,0,0.24,434,444,90,21,1695477600
1,9906,9581,Séamus Conneely,Séamus,Conneely,Séamus Conneely,seamus-conneely,35,185,68,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/republic-of-ireland/seamus-conneely,263,-1,-1,Defender,1672,793,879,584434800,Republic of Ireland,eu,26,11,15,0,0,0,6,1,7,27,8,19,0,0,0,0,0,-1,0.0,0.0,0.0,27,0.0,0.0,0,1.45,62,8,8,0,64,209,0,0.43,573,574,143,25,1713621600
2,159547,9581,Jay Bagueloc'rich,Jay,Bagueloc'rich,Jay Bagueloc'rich,jay-baguelocrich,0,-1,-1,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/jay-baguelocrich,263,-1,-1,Defender,1255,655,600,0,England,eu,18,9,9,0,0,0,4,2,6,16,8,8,0,0,0,0,0,-1,0.0,0.0,0.0,33,0.0,0.0,0,1.15,78,10,9,1,70,126,0,0.72,488,482,49,31,1707577200
3,630688,9581,Lewis Shipley,Lewis,Shipley,Lewis Shipley,lewis-shipley,0,-1,-1,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/lewis-shipley,263,-1,-1,Defender,1994,912,1082,0,England,eu,25,12,13,1,1,0,6,1,7,29,6,23,0,0,0,0,0,-1,0.05,0.0,0.05,28,0.1,0.0,1994,1.31,69,9,8,1,80,222,0,0.41,338,483,99,12,1713621600
4,636808,9581,Brad Hills,Brad,Hills,Brad Hills,brad-hills,0,-1,-1,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/brad-hills,263,-1,-1,Defender,3540,1710,1830,0,England,eu,40,19,21,3,2,1,8,2,10,54,21,33,1,1,0,0,0,-1,0.1,0.03,0.08,25,0.11,0.05,1180,1.37,66,16,14,2,89,221,3540,0.41,261,369,122,7,1713621600
5,9911,9581,Sean McConville,Sean,McConville,Sean McConville,sean-mcconville,35,180,74,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/sean-mcconville,263,-1,-1,Forward,316,251,65,605174400,England,eu,5,4,1,2,2,0,2,0,2,2,1,1,0,0,0,0,0,-1,0.57,0.0,0.57,40,0.72,0.0,158,0.57,158,1,1,0,63,316,0,0.28,16,484,-1,8,1692453600
6,9683,9581,Kelvin Mellor,Kelvin,Mellor,Kelvin Mellor,kelvin-mellor,33,188,75,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/kelvin-mellor,263,-1,-1,Midfielder,1747,837,910,664790400,England,eu,23,11,12,0,0,0,3,1,4,31,12,19,1,0,1,0,0,-1,0.05,0.05,0.0,17,0.0,0.0,0,1.6,56,3,3,0,76,582,1747,0.15,487,323,-1,30,1711724400
7,119978,9581,Liam Coyle,Liam,Coyle,Liam Coyle,liam-coyle,24,-1,-1,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/liam-coyle,263,-1,-1,Midfielder,887,437,450,944467200,England,eu,11,5,6,0,0,0,1,0,1,16,6,10,0,0,0,0,0,-1,0.0,0.0,0.0,9,0.0,0.0,0,1.62,55,2,2,0,81,444,0,0.2,486,485,-1,29,1713621600
8,120282,9581,Jack Nolan,Jack,Nolan,Jack Nolan,jack-nolan,22,-1,-1,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/jack-nolan,263,-1,-1,Midfielder,3296,1473,1823,990774000,England,eu,44,21,23,15,7,8,8,2,10,55,19,36,7,4,3,5,0,100,0.6,0.19,0.41,23,0.43,0.39,220,1.5,60,2,2,0,75,1648,471,0.05,49,93,-1,1,1713621600
9,732177,9581,Tommy Leigh,Tommy,Leigh,Tommy Leigh,tommy-leigh,24,-1,-1,EFL League Two,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/tommy-leigh,263,-1,-1,Midfielder,2972,1470,1502,955609200,England,eu,38,19,19,8,4,4,7,1,8,51,22,29,5,2,3,3,1,75,0.39,0.15,0.24,21,0.24,0.24,372,1.54,58,8,8,0,78,372,594,0.24,117,150,-1,2,1713621600
