,id,seasonGoals_home,seasonGoals_away,seasonConceded_away,seasonConceded_home,seasonGoals,points,seasonConceded,seasonGoalDifference,seasonWins_home,seasonWins_away,seasonWins_overall,seasonDraws_home,seasonDraws_away,seasonDraws_overall,seasonLosses_away,seasonLosses_overall,seasonLosses_home,matchesPlayed,name,country,cleanName,shortHand,url,seasonURL_overall,seasonURL_home,seasonURL_away,position,zone,corrections,wdl_record,points_original
0,3143,44,47,29,15,91,89,44,47,14,12,26,5,6,11,4,7,3,44,Stockport County FC,,Stockport County,stockport-county-fc,/clubs/stockport-county-fc-3143,/clubs/stockport-county-fc-3143,/clubs/stockport-county-fc-3143,/clubs/stockport-county-fc-3143,1,"{'name': 'Promotion', 'number': 1}",0,lldwldwwwwwwwwwwwwlddwwddlwwdwllddwddwwwwwww,
1,267,41,46,24,21,87,82,45,42,12,11,23,7,6,13,5,8,3,44,Mansfield Town FC,,Mansfield Town,mansfield-town-fc,/clubs/mansfield-town-fc-267,/clubs/mansfield-town-fc-267,/clubs/mansfield-town-fc-267,/clubs/mansfield-town-fc-267,2,"{'name': 'Promotion', 'number': 1}",0,dwddwdwdwdddwwwwwldwwwdwlddlwwwlwwlwlwdllwww,
2,1837,60,24,27,24,84,82,51,33,16,8,24,3,7,10,7,10,3,44,Wrexham FC,,Wrexham,wrexham-fc,/clubs/wrexham-fc-1837,/clubs/wrexham-fc-1837,/clubs/wrexham-fc-1837,/clubs/wrexham-fc-1837,3,"{'name': 'Promotion', 'number': 1}",0,ldwddwwwlddwwdwwwlwdwwwlwwlllwwdldwwdlwwlwww,
3,227,44,30,38,23,74,74,61,13,14,8,22,4,4,8,10,14,4,44,Milton Keynes Dons FC,,Milton Keynes Dons,milton-keynes-dons-fc,/clubs/milton-keynes-dons-fc-227,/clubs/milton-keynes-dons-fc-227,/clubs/milton-keynes-dons-fc-227,/clubs/milton-keynes-dons-fc-227,4,"{'name': 'Promotion Play-off', 'number': 2}",0,wwlwwldldldldlwwdwdwwwwlwlwwlwlwdwlwwlwlwdwl,
4,252,35,33,29,32,68,70,61,7,11,8,19,5,8,13,6,12,6,44,Crewe Alexandra FC,,Crewe Alexandra,crewe-alexandra-fc,/clubs/crewe-alexandra-fc-252,/clubs/crewe-alexandra-fc-252,/clubs/crewe-alexandra-fc-252,/clubs/crewe-alexandra-fc-252,5,"{'name': 'Promotion Play-off', 'number': 2}",0,ddwdlwwdwdwlwwlwwwdldlldwwwwldwwdwllwlddldwl,
5,1833,26,32,33,16,58,68,49,9,11,7,18,7,7,14,8,11,3,43,Barrow AFC,,Barrow,barrow-afc,/clubs/barrow-afc-1833,/clubs/barrow-afc-1833,/clubs/barrow-afc-1833,/clubs/barrow-afc-1833,6,"{'name': 'Promotion Play-off', 'number': 2}",0,wwdldwdlwldddwdwwwwwwwddlwdldwlllwwddwwllld,
6,254,35,34,35,30,69,66,65,4,10,10,20,3,3,6,9,18,9,44,Crawley Town FC,,Crawley Town,crawley-town-fc,/clubs/crawley-town-fc-254,/clubs/crawley-town-fc-254,/clubs/crawley-town-fc-254,/clubs/crawley-town-fc-254,7,"{'name': 'Promotion Play-off', 'number': 2}",0,wdwlldwwwwllldlwlwlwllwlwwllldwwwlwwdwlwwlld,
7,236,33,33,43,22,66,65,65,1,12,6,18,6,5,11,11,15,4,44,Walsall FC,,Walsall,walsall-fc,/clubs/walsall-fc-236,/clubs/walsall-fc-236,/clubs/walsall-fc-236,/clubs/walsall-fc-236,8,"{'name': None, 'number': -10}",0,lwlddwwllwdlwddlldlwwlwwwlddldwwwwwlddlwwllw,
8,231,34,29,35,28,63,64,63,0,13,6,19,2,5,7,10,17,7,43,Doncaster Rovers FC,,Doncaster Rovers,doncaster-rovers-fc,/clubs/doncaster-rovers-fc-231,/clubs/doncaster-rovers-fc-231,/clubs/doncaster-rovers-fc-231,/clubs/doncaster-rovers-fc-231,9,"{'name': None, 'number': -10}",0,lldlldlwwlwlwwlwllwdllldwllldwdwwldwwwwwwww,
9,238,23,20,32,21,43,63,53,-10,9,9,18,8,1,9,12,17,5,44,Gillingham FC,,Gillingham,gillingham-fc,/clubs/gillingham-fc-238,/clubs/gillingham-fc-238,/clubs/gillingham-fc-238,/clubs/gillingham-fc-238,10,"{'name': None, 'number': -10}",0,wwwwllwwldlwllwllwlwldlwwwdldwdldwwldldwdllw,
10,241,36,21,23,24,57,62,47,10,10,6,16,6,8,14,8,14,6,44,AFC Wimbledon,,AFC Wimbledon,afc-wimbledon,/clubs/afc-wimbledon-241,/clubs/afc-wimbledon-241,/clubs/afc-wimbledon-241,/clubs/afc-wimbledon-241,11,"{'name': None, 'number': -10}",0,ddwwddldwwwdldllwwlwdwlwdllwdwldllwdwwlddlwl,
11,3124,32,23,30,32,55,62,62,-7,9,8,17,3,8,11,6,16,10,44,Harrogate Town FC,,Harrogate Town,harrogate-town-fc,/clubs/harrogate-town-fc-3124,/clubs/harrogate-town-fc-3124,/clubs/harrogate-town-fc-3124,/clubs/harrogate-town-fc-3124,12,"{'name': None, 'number': -10}",0,wlllwlldwwlwlwllwdldwwwldwwwdwldlldlddwdwlwd,
12,248,25,27,28,27,52,60,55,-3,8,8,16,8,4,12,9,15,6,43,Bradford City AFC,,Bradford City,bradford-city-afc,/clubs/bradford-city-afc-248,/clubs/bradford-city-afc-248,/clubs/bradford-city-afc-248,/clubs/bradford-city-afc-248,13,"{'name': None, 'number': -10}",0,lwdlwdddwllwwdllllwwwwddllddldwwwdwllllwdww,
13,256,50,38,43,42,88,58,85,3,11,6,17,2,5,7,11,20,9,44,Notts County FC,,Notts County,notts-county-fc,/clubs/notts-county-fc-256,/clubs/notts-county-fc-256,/clubs/notts-county-fc-256,/clubs/notts-county-fc-256,14,"{'name': None, 'number': -10}",0,lwdwwwdwwlwdlwwllwlwlllwwlddllwllllldwlldwwl,
14,270,28,35,49,27,63,57,76,-13,8,9,17,7,2,9,11,18,7,44,Morecambe FC,,Morecambe,morecambe-fc,/clubs/morecambe-fc-270,/clubs/morecambe-fc-270,/clubs/morecambe-fc-270,/clubs/morecambe-fc-270,15,"{'name': None, 'number': -10}",0,wldwlwldwdwwwwlllldwldlddwlwwwdldwwllllwwlll,60.0
15,265,37,24,35,36,61,55,71,-10,9,7,16,6,1,7,14,21,7,44,Newport County AFC,,Newport County,newport-county-afc,/clubs/newport-county-afc-265,/clubs/newport-county-afc-265,/clubs/newport-county-afc-265,/clubs/newport-county-afc-265,16,"{'name': None, 'number': -10}",0,lwlwwdldllwlldlwdlwwldlwddwwwwlwlwllwwllllll,
16,259,41,22,34,30,63,54,64,-1,11,5,16,3,3,6,14,22,8,44,Tranmere Rovers FC,,Tranmere Rovers,tranmere-rovers-fc,/clubs/tranmere-rovers-fc-259,/clubs/tranmere-rovers-fc-259,/clubs/tranmere-rovers-fc-259,/clubs/tranmere-rovers-fc-259,17,"{'name': None, 'number': -10}",0,llwlllllwlwdllllwdwdwlwwwwllwdllwllwdwwlldlw,
17,263,30,27,40,26,57,54,66,-9,9,6,15,5,4,9,12,20,8,44,Accrington Stanley FC,,Accrington Stanley,accrington-stanley-fc,/clubs/accrington-stanley-fc-263,/clubs/accrington-stanley-fc-263,/clubs/accrington-stanley-fc-263,/clubs/accrington-stanley-fc-263,18,"{'name': None, 'number': -10}",0,wldwwllwlldwwwwllwllddwldwlwdlwdllllwdlldwll,
18,234,42,32,47,31,74,53,78,-4,11,3,14,4,7,11,12,19,7,44,Swindon Town FC,,Swindon Town,swindon-town-fc,/clubs/swindon-town-fc-234,/clubs/swindon-town-fc-234,/clubs/swindon-town-fc-234,/clubs/swindon-town-fc-234,19,"{'name': None, 'number': -10}",0,dwdwdwwdwllwdlllldwwllllwldlwlddldwdlllwlwwl,
19,3141,35,28,36,44,63,47,80,-17,5,7,12,7,4,11,11,21,10,44,Salford City FC,,Salford City,salford-city-fc,/clubs/salford-city-fc-3141,/clubs/salford-city-fc-3141,/clubs/salford-city-fc-3141,/clubs/salford-city-fc-3141,20,"{'name': None, 'number': -10}",0,wdlwlllllwwwldwdlllddlllldwdwwddwldlldwwllll,
20,273,32,23,31,41,55,46,72,-17,8,2,10,5,11,16,9,18,9,44,Grimsby Town FC,,Grimsby Town,grimsby-town-fc,/clubs/grimsby-town-fc-273,/clubs/grimsby-town-fc-273,/clubs/grimsby-town-fc-273,/clubs/grimsby-town-fc-273,21,"{'name': None, 'number': -10}",0,dlwddwdlllwdllllwdddwdllwldldlldwddwdlldwlwl,
21,253,32,25,38,36,57,44,74,-17,6,5,11,6,5,11,12,21,9,43,Colchester United FC,,Colchester United,colchester-united-fc,/clubs/colchester-united-fc-253,/clubs/colchester-united-fc-253,/clubs/colchester-united-fc-253,/clubs/colchester-united-fc-253,22,"{'name': None, 'number': -10}",0,lllwlwdlwllllwwwdlllllwlllddwdldddlddwdllww,
22,1827,31,22,46,32,53,40,78,-25,5,4,9,8,5,13,13,22,9,44,Sutton United FC,,Sutton United,sutton-united-fc,/clubs/sutton-united-fc-1827,/clubs/sutton-united-fc-1827,/clubs/sutton-united-fc-1827,/clubs/sutton-united-fc-1827,23,"{'name': 'Relegation', 'number': -1}",0,wllllllldllwlllwddddllwlddddldllldwldlwwwwld,
23,1020,18,23,39,38,41,36,77,-36,4,5,9,4,5,9,12,26,14,44,Forest Green Rovers FC,,Forest Green Rovers,forest-green-rovers-fc,/clubs/forest-green-rovers-fc-1020,/clubs/forest-green-rovers-fc-1020,/clubs/forest-green-rovers-fc-1020,/clubs/forest-green-rovers-fc-1020,24,"{'name': 'Relegation', 'number': -1}",0,lwlldwllllllwlwlddlldllddldldlwlwdlwwlllwlll,
