,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,674199,Barcelona W,15,18,19,2,20,16,15,9,1,1,0,0,2,1,1,2
0,688579,Real Madrid W,4,7,9,0,10,16,13,5,5,1,2,2,6,3,1,8
0,674219,Atletico Madrid W,11,3,7,2,6,8,4,3,2,3,3,0,5,1,4,0
0,674353,Levante W,5,8,10,3,7,9,3,1,3,2,3,0,6,4,5,0
0,674355,Madrid CFF,4,10,10,2,6,8,7,6,9,4,7,1,5,6,7,7
0,674354,Athletic Club W,5,4,5,0,5,2,8,2,2,1,7,1,4,5,6,1
0,674345,Sevilla W,3,5,7,1,9,8,7,7,4,7,9,4,8,7,9,1
0,674346,UD Granadilla Tenerife,5,4,5,1,7,4,5,2,6,5,12,0,4,4,7,2
0,674358,Real Sociedad W,5,6,5,2,3,3,5,1,6,8,7,0,9,4,9,2
0,674357,Valencia W,4,5,4,0,9,2,6,1,5,7,8,1,7,12,6,3
0,679986,Eibar W,2,3,1,0,3,3,6,0,8,3,3,1,6,9,2,8
0,679991,Granada W,7,2,1,0,6,4,4,3,5,10,2,0,9,11,7,2
0,674356,Real Betis W,3,2,3,2,4,6,2,3,9,10,8,1,12,11,7,3
0,703696,Villarreal W,2,3,4,0,4,6,3,0,2,9,6,0,8,10,11,1
0,679990,Levante Las Planas,4,5,3,1,2,3,7,4,8,8,10,3,6,4,8,4
0,674347,Sporting de Huelva,2,0,5,0,2,3,3,1,6,6,11,2,6,9,8,4
