,id,homeID,awayID,season,status,roundID,game_week,revised_game_week,homeGoals,awayGoals,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_offsides,team_b_offsides,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,refereeID,coach_a_ID,coach_b_ID,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_team_a_cs_yes,odds_team_a_cs_no,odds_team_b_cs_yes,odds_team_b_cs_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,odds_1st_half_result_1,odds_1st_half_result_x,odds_1st_half_result_2,odds_2nd_half_result_1,odds_2nd_half_result_x,odds_2nd_half_result_2,odds_dnb_1,odds_dnb_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2,odds_team_to_score_first_1,odds_team_to_score_first_x,odds_team_to_score_first_2,odds_win_to_nil_1,odds_win_to_nil_2,odds_1st_half_over05,odds_1st_half_over15,odds_1st_half_over25,odds_1st_half_over35,odds_1st_half_under05,odds_1st_half_under15,odds_1st_half_under25,odds_1st_half_under35,odds_2nd_half_over05,odds_2nd_half_over15,odds_2nd_half_over25,odds_2nd_half_over35,odds_2nd_half_under05,odds_2nd_half_under15,odds_2nd_half_under25,odds_2nd_half_under35,odds_btts_1st_half_yes,odds_btts_1st_half_no,odds_btts_2nd_half_yes,odds_btts_2nd_half_no,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,btts_fhg_potential,btts_2hg_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o45_potential,o35_potential,o25_potential,o15_potential,o05_potential,o15HT_potential,o05HT_potential,o05_2H_potential,o15_2H_potential,corners_potential,offsides_potential,cards_potential,avg_potential,home_url,home_image,home_name,away_url,away_image,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u45_potential,u35_potential,u25_potential,u15_potential,u05_potential,corners_o85_potential,corners_o95_potential,corners_o105_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,match_url,competition_id,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,homeGoals_timings,awayGoals_timings
0,7123260,674354,679991,2023/2024,complete,102072,1,-1,['16'],[],1,0,1,7,2,9,-1,-1,-1,-1,-1,-1,6,4,12,4,18,8,-1,-1,48,52,49729.0,36215,49726,Instalaciones de Lezama Campo 2 (Lezama),,-1,-1,1.44,4.2,5.5,0.0,0.0,1.55,2.38,0.0,0.0,0.0,2.15,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,1,1696435200,674354,0,0,0,0,0,-1,1,-1,2,0,5,2,2,7,-1,-1,-1,-1,-1,-1,1,0,0,0,0,2.11,1.18,3.29,0,0,0,0,0,0,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/athletic-club-bilbao-women-674354,teams/spain-athletic-club-bilbao-women.png,Athletic Club W,/clubs/granada-cf-women-679991,teams/spain-granada-cf-women.png,Granada W,2.18,0.73,0.0,0.0,0.0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/spain/athletic-club-bilbao-women-vs-granada-cf-women-h2h-stats#7123260,10125,22,True,False,False,False,False,False,False,['16'],[]
1,7123261,674199,674357,2023/2024,complete,102072,1,-1,"['9', '21', '43', '61', '63', '74']",[],6,0,6,12,1,13,2,1,0,2,0,0,16,2,9,3,25,5,10,7,73,27,47823.0,41159,32168,Estadi Johan Cruyff (Sant Joan Despí),,0,2,1.05,11.0,19.0,1.01,1.02,1.1,1.32,1.69,17.0,13.0,5.85,2.98,2.07,3.04,1.31,1.18,4.33,0.0,0.0,1.0,1.01,11.0,1.17,5.0,26.0,1.05,7.8,25.0,0,0,0.0,0.0,0.0,1.95,2.22,0.0,0.0,0.0,1.85,1.63,0.0,0.0,0.0,1.06,34.0,10.0,0,0,1.07,1.5,2.53,4.7,6.8,2.4,1.46,1.15,1.01,1.25,1.8,3.0,11.0,3.5,1.9,1.34,0,0,0,0,6,3,0,3,0,3,3,1696528800,674199,0,50,50,0,0,-1,1,1,6,0,6,1,6,7,0,0,0,2,0,2,1,111,18,137,84,3.49,0.6,4.09,1,0,1,0,0,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,50,50,50,50,50,50,0,5.0,0.0,2.0,1.5,/clubs/fc-barcelona-women-674199,teams/spain-fc-barcelona-women.png,Barcelona W,/clubs/valencia-women-674357,teams/spain-valencia-women.png,Valencia W,2.82,1.08,0.0,3.0,3.0,1.5,50,50,0,0,0,0,0,0,0.0,1.73,1.73,/spain/fc-barcelona-women-vs-valencia-women-h2h-stats#7123261,10125,22,True,True,True,True,True,True,False,"['9', '21', '43', '61', '63', '74']",[]
2,7123262,679990,674347,2023/2024,complete,102072,1,-1,['34'],['80'],1,1,2,2,1,3,3,3,2,0,0,0,7,2,6,2,13,4,8,11,58,42,52671.0,45953,32151,Camp Municipal Les Planes (Sant Joan Despí),,2,0,1.62,3.6,4.75,1.02,1.08,1.55,1.67,2.6,19.0,6.5,2.3,2.15,1.41,1.32,2.98,3.6,1.25,7.0,1.07,1.22,1.17,2.03,2.38,2.77,3.59,1.95,3.1,3.7,0,0,0.0,1.66,2.05,2.5,0.0,0.0,2.19,1.75,1.48,0.0,1.62,7.5,2.9,1.53,31.0,2.32,0,0,1.17,1.91,3.7,9.5,4.4,1.89,1.23,1.04,1.08,1.48,2.47,4.5,6.4,2.47,1.48,1.17,0,0,0,0,2,1,0,0,1,1,1,1696521600,-1,0,50,50,0,0,-1,1,1,1,1,1,0,2,1,0,0,2,0,0,2,1,71,51,146,119,1.84,0.78,2.62,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,50,100,100,50,100,100,0,5.0,5.0,3.0,2.5,/clubs/levante-las-planas-679990,teams/spain-levante-las-planas.png,Levante Las Planas,/clubs/cd-sporting-de-huelva-cajasol-san-juan-674347,teams/spain-cd-sporting-de-huelva-cajasol-san-juan.png,Sporting de Huelva,0.91,0.36,3.0,0.0,3.0,0.0,100,100,50,0,0,0,0,0,1.54,1.17,2.71,/spain/cd-sporting-de-huelva-cajasol-san-juan-vs-levante-las-planas-h2h-stats#7123262,10125,22,True,True,False,False,False,False,True,['34'],['80']
3,7123263,679986,674355,2023/2024,complete,102072,1,-1,['75'],"['34', '39', '64', '90+1', '90+3', '90+8']",1,6,7,5,7,12,-1,-1,1,2,0,0,3,11,7,8,10,19,-1,-1,38,62,52702.0,49704,32160,Estadio Municipal de Ipurúa (Eibar),,1,2,8.5,5.0,1.25,0.0,0.0,1.55,2.14,0.0,0.0,0.0,2.3,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7,0,2,1,4,5,2,1696442400,674355,0,100,0,100,0,-1,1,1,2,4,3,3,6,6,0,0,1,2,0,3,1,0,0,0,0,1.01,2.32,3.33,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,100,100,100,50,50,100,100,8.0,4.0,3.0,4.5,/clubs/sd-eibar-women-679986,teams/spain-sd-eibar-women.png,Eibar W,/clubs/madrid-club-de-futbol-femenino-674355,teams/spain-madrid-club-de-futbol-femenino.png,Madrid CFF,1.09,2.09,0.0,3.0,1.5,1.5,50,50,0,0,0,50,50,50,1.5,2.81,4.31,/spain/madrid-club-de-futbol-femenino-vs-sd-eibar-women-h2h-stats#7123263,10125,22,True,True,True,True,True,True,True,['75'],"['34', '39', '64', '90+1', '90+3', '90+8']"
4,7123264,674345,674346,2023/2024,complete,102072,1,-1,"['10', '34', '38', '80', '86']",['57'],5,1,6,8,6,14,-1,-1,3,0,0,1,11,7,5,3,16,10,14,8,50,50,41575.0,43626,45858,Estadio Jesús Navas (Sevilla),,3,2,2.45,3.0,2.7,1.02,1.22,1.96,2.84,5.77,10.0,3.65,1.76,1.35,1.13,1.65,2.1,2.8,1.38,3.8,1.22,1.29,1.27,1.69,2.74,2.31,3.91,2.35,2.65,3.47,0,0,1.43,1.71,2.16,2.63,0.0,2.63,2.12,1.69,1.43,0.0,1.85,8.1,2.2,1.74,10.25,2.25,0,0,1.33,2.69,6.0,13.0,2.83,1.37,1.09,1.01,1.19,1.95,4.0,9.0,4.2,1.76,1.21,1.05,0,0,0,0,6,3,0,2,1,3,3,1696435200,674345,0,50,0,50,0,-1,1,1,5,3,3,3,8,6,2,1,1,0,3,1,1,71,71,102,108,2.29,1.64,3.93,0,0,0,0,0,0,1,1,1,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,50,50,50,50,50,3.0,1.0,3.0,3.0,/clubs/sevilla-women-674345,teams/spain-sevilla-women.png,Sevilla W,/clubs/ud-granadilla-tenerife-sur-674346,teams/spain-ud-granadilla-tenerife-sur.png,UD Granadilla Tenerife,1.83,0.82,0.0,0.0,0.0,1.5,0,0,0,0,0,0,0,0,1.09,0.0,1.09,/spain/sevilla-women-vs-ud-granadilla-tenerife-sur-h2h-stats#7123264,10125,22,True,True,True,True,True,True,True,"['10', '34', '38', '80', '86']",['57']
5,7123265,703696,674219,2023/2024,complete,102072,1,-1,['74'],"['2', '45', '89']",1,3,4,2,8,10,3,2,2,2,0,0,3,9,5,4,8,13,16,7,37,63,52688.0,41189,8043,Ciudad Deportiva del Villarreal (Villarreal),,2,2,4.9,4.1,1.53,1.03,1.17,1.57,2.29,4.33,11.0,4.25,2.28,1.55,1.16,1.68,2.05,6.5,1.08,1.95,1.75,2.32,1.18,1.12,5.26,2.49,2.12,4.9,2.78,1.85,0,0,0.0,1.63,2.02,2.5,0.0,0.0,2.23,1.78,1.48,0.0,4.8,10.5,1.23,2.85,15.5,1.43,0,0,1.29,2.49,5.2,11.0,3.32,1.53,1.12,1.03,1.15,1.83,3.5,7.5,4.7,1.88,1.26,1.07,0,0,0,0,4,0,2,1,1,2,2,1696359600,674219,0,100,50,0,0,-1,1,1,1,7,1,1,8,2,1,1,1,1,2,2,1,63,95,122,173,1.18,2.15,3.34,0,0,0,0,0,0,1,1,0,1,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,50,100,100,50,100,100,0,6.0,8.0,6.0,2.5,/clubs/villarreal-cf-women-703696,teams/spain-villarreal-cf-women.png,Villarreal W,/clubs/atletico-madrid-feminas-674219,teams/spain-atletico-madrid-feminas.png,Atletico Madrid W,0.82,1.91,0.0,1.0,0.0,2.0,100,100,50,0,0,0,0,0,1.17,1.52,2.69,/spain/atletico-madrid-feminas-vs-villarreal-cf-women-h2h-stats#7123265,10125,22,True,True,True,True,False,False,True,['74'],"['2', '45', '89']"
6,7123266,674358,674353,2023/2024,complete,102072,1,-1,['23'],['54'],1,1,2,1,2,3,3,3,1,0,0,0,4,6,3,5,7,11,14,3,41,59,58330.0,37434,32145,Instalaciones de Zubieta (Donostia-San Sebastián),,1,0,3.75,3.6,1.8,1.0,1.2,1.59,2.5,4.2,10.9,4.33,2.22,1.5,1.17,1.53,2.25,0.0,0.0,0.0,0.0,1.95,1.2,1.2,4.0,2.3,2.3,3.7,2.65,2.1,0,0,0.0,1.61,1.97,2.51,0.0,0.0,2.28,1.71,1.5,0.0,2.95,8.8,1.53,2.6,11.0,1.53,0,0,1.3,2.35,5.1,12.0,3.2,1.53,1.13,1.02,1.15,1.75,3.4,7.5,4.7,1.95,1.27,1.07,0,0,0,0,2,1,0,0,1,1,1,1696438800,-1,0,50,50,0,0,-1,1,1,1,0,0,2,1,2,1,0,0,0,1,0,1,57,76,121,139,1.15,1.68,2.83,0,1,0,1,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,50,50,50,50,50,50,0,3.0,2.0,2.0,1.5,/clubs/real-sociedad-women-674358,teams/spain-real-sociedad-women.png,Real Sociedad W,/clubs/ud-levante-women-674353,teams/spain-ud-levante-women.png,Levante W,1.45,2.0,3.0,0.0,1.5,2.0,50,50,0,0,0,0,0,0,1.59,0.0,1.59,/spain/ud-levante-women-vs-real-sociedad-women-h2h-stats#7123266,10125,22,True,True,False,False,False,False,True,['23'],['54']
7,7123267,688579,674356,2023/2024,complete,102072,1,-1,"['2', '53', '59', '64', '76']",['90+3'],5,1,6,10,1,11,8,5,2,3,0,0,12,2,5,0,17,2,11,12,64,36,52723.0,664,32147,Estadio Alfredo Di Stéfano (Madrid),,2,3,1.04,11.0,34.0,1.02,1.11,1.33,1.77,2.93,15.0,6.0,2.71,1.8,1.33,2.21,1.56,1.55,2.3,0.0,0.0,1.02,1.03,5.9,1.44,3.39,13.39,1.28,4.1,12.4,0,0,0.0,1.52,1.85,2.31,0.0,0.0,2.5,1.95,1.6,0.0,1.13,11.0,8.5,1.12,25.0,5.55,0,0,1.18,2.02,3.8,7.5,4.3,1.74,1.22,1.07,1.09,1.56,2.69,6.0,6.1,2.28,1.41,1.11,0,0,0,0,6,1,0,4,1,5,1,1696442400,688579,0,50,50,0,0,-1,1,1,6,1,4,0,7,4,0,2,2,1,2,3,1,90,36,123,91,2.56,0.54,3.1,0,0,0,0,0,0,1,1,1,0,4,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,50,50,50,50,50,50,0,2.0,3.0,4.0,1.5,/clubs/real-madrid-femenino-688579,teams/spain-real-madrid-femenino.png,Real Madrid W,/clubs/real-betis-women-674356,teams/spain-real-betis-women.png,Real Betis W,2.18,0.36,0.0,0.0,3.0,1.5,50,50,0,0,0,0,0,0,0.0,1.11,1.11,/spain/real-betis-women-vs-real-madrid-femenino-h2h-stats#7123267,10125,22,True,True,True,True,True,True,True,"['2', '53', '59', '64', '76']",['90+3']
8,7123268,679991,674358,2023/2024,complete,102072,2,-1,"['8', '58']",['26'],2,1,3,4,4,8,-1,-1,2,0,0,1,6,3,3,6,9,9,-1,-1,47,53,52747.0,49726,37434,Estadio Nuevo Los Cármenes (Granada),,2,2,4.75,3.98,1.6,0.0,0.0,1.61,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,1,1,1,0,1,2,1694970000,679991,0,0,0,0,0,-1,1,1,0,0,4,4,0,8,1,1,1,0,2,1,1,0,0,0,0,1.3,1.11,2.41,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/granada-cf-women-679991,teams/spain-granada-cf-women.png,Granada W,/clubs/real-sociedad-women-674358,teams/spain-real-sociedad-women.png,Real Sociedad W,0.91,1.09,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/spain/real-sociedad-women-vs-granada-cf-women-h2h-stats#7123268,10125,22,True,True,True,False,False,False,True,"['8', '58']",['26']
9,7123269,674353,674345,2023/2024,complete,102072,2,-1,"['35', '71']",[],2,0,2,4,5,9,6,1,0,1,0,0,5,5,6,3,11,8,7,12,54,46,41852.0,32145,43626,Ciudad Deportiva de Buñol - Campo 1 (Buñol),,0,1,1.29,4.95,7.1,1.03,1.15,1.5,2.34,4.05,13.0,4.5,2.2,1.5,1.18,1.73,1.93,0.0,0.0,0.0,0.0,1.06,1.13,2.85,1.73,2.5,7.0,1.65,2.95,5.75,0,0,0.0,1.61,1.99,2.52,0.0,0.0,2.27,1.81,1.5,0.0,1.15,11.75,6.1,1.22,15.0,4.33,0,0,1.29,2.3,5.5,12.0,3.4,1.55,1.12,1.02,1.14,1.75,3.3,7.5,4.9,1.95,1.29,1.07,0,0,0,0,2,1,0,1,0,1,1,1694977200,674353,0,0,0,0,0,-1,1,1,4,1,0,4,5,4,0,1,0,0,1,0,1,118,91,179,157,1.91,1.53,3.44,0,0,0,0,0,0,1,1,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/ud-levante-women-674353,teams/spain-ud-levante-women.png,Levante W,/clubs/sevilla-women-674345,teams/spain-sevilla-women.png,Sevilla W,1.91,1.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/spain/sevilla-women-vs-ud-levante-women-h2h-stats#7123269,10125,22,True,True,False,False,False,False,False,"['35', '71']",[]
