,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,15432,9700,Jordi van Stappershoef,Jordi,van Stappershoef,Jordi van Stappershoef,jordi-van-stappershoef,28,180,78,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/netherlands/jordi-van-stappershoef,1836,-1,-1,Goalkeeper,3454,1800,1654,826444800,Netherlands,eu,39,20,19,0,0,0,6,1,7,59,23,36,0,0,0,0,0,-1,0.0,0,0.0,18,0.0,0.0,0,1.54,59,5,4,1,89,691,0,0.13,434,1,155,19,1712412000
1,8914,9700,Cian Harries,Cian,Harries,Cian Harries,cian-harries,27,186,-1,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/wales/cian-harries,1836,-1,-1,Defender,3299,1563,1736,859881600,Wales,eu,38,18,20,6,3,3,3,2,5,63,23,40,0,0,0,6,0,100,0.16,0,0.16,13,0.17,0.16,550,1.72,52,10,9,1,87,330,0,0.27,165,292,186,4,1712412000
2,104627,9700,Oliver John Harfield,Oliver John,Harfield,Oliver John Harfield,oliver-john-harfield,26,180,78,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/oliver-john-harfield,1836,-1,-1,Defender,3870,1980,1890,884332800,England,eu,43,22,21,0,0,0,6,2,8,71,28,43,0,0,0,0,0,-1,0.0,0,0.0,19,0.0,0.0,0,1.65,55,2,2,0,90,1935,0,0.05,487,384,175,27,1712412000
3,166625,9700,Aaron Jones,Aaron,Jones,Aaron Jones,aaron-jones,30,175,72,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/aaron-jones,1836,-1,-1,Defender,2074,1075,999,763372800,England,eu,24,12,12,1,1,0,2,2,4,35,14,21,0,0,0,0,0,-1,0.04,0,0.04,17,0.08,0.0,2074,1.52,59,6,6,0,86,346,0,0.26,330,385,151,11,1706039100
4,630012,9700,Haji Suleiman Haji Ali Mnoga,Haji Suleiman Haji Ali,Mnoga,Haji Mnoga,haji-mnoga,21,185,78,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/tanzania/haji-mnoga,1836,-1,-1,Midfielder,2527,1504,1023,1018940400,Tanzania,eu,30,18,12,2,1,1,6,1,7,48,24,24,0,0,0,0,0,-1,0.07,0,0.07,23,0.06,0.09,1264,1.71,53,11,10,1,84,230,0,0.39,284,386,-1,9,1712412000
5,800936,9700,Maxwell Mullins,Maxwell,Mullins,Maxwell Mullins,maxwell-mullins,0,180,-1,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/maxwell-mullins,1836,-1,-1,Forward,316,156,160,0,England,eu,10,6,4,0,0,0,2,2,4,12,4,8,0,0,0,0,0,-1,0.0,0,0.0,40,0.0,0.0,0,3.42,26,0,0,0,32,0,0,0.0,486,387,-1,26,1705762800
6,4673,9700,Stuart Antony Alan O'Keefe,Stuart Antony Alan,O'Keefe,Stuart O'Keefe,stuart-okeefe,33,173,64,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/stuart-okeefe,1836,-1,-1,Midfielder,1375,720,655,668073600,England,eu,19,10,9,0,0,0,3,0,3,28,12,16,0,0,0,0,0,-1,0.0,0,0.0,16,0.0,0.0,0,1.83,49,7,7,0,72,196,0,0.46,485,388,-1,25,1711724400
7,104561,9700,Theo Jack Widdrington,Theo Jack,Widdrington,Theo Jack Widdrington,theo-jack-widdrington,25,178,76,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/theo-jack-widdrington,1836,-1,-1,Midfielder,1383,682,701,923382000,England,eu,21,12,9,0,0,0,2,1,3,27,11,16,0,0,0,0,0,-1,0.0,0,0.0,14,0.0,0.0,0,1.76,51,8,8,1,66,173,0,0.52,484,389,-1,24,1712412000
8,839227,9700,Josh Stokes,Josh,Stokes,Josh Stokes,josh-stokes,0,-1,-1,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/josh-stokes,1836,-1,-1,Midfielder,3526,1756,1770,0,England,eu,42,21,21,15,10,5,6,2,8,65,26,39,0,0,0,0,0,-1,0.38,0,0.38,19,0.51,0.25,235,1.66,54,13,13,1,84,271,0,0.33,52,383,-1,2,1712412000
9,143855,9700,Jack Barham,Jack,Barham,Jack Barham,jack-barham,28,177,-1,National League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/jack-barham,1836,-1,-1,Forward,2392,1307,1085,823852800,England,eu,33,18,15,11,7,4,5,1,6,46,18,28,0,0,0,0,0,-1,0.41,0,0.41,18,0.48,0.33,217,1.73,52,3,3,0,72,797,0,0.11,45,390,-1,3,1708191000
