,id,seasonGoals_home,seasonGoals_away,seasonConceded_away,seasonConceded_home,seasonGoals,points,seasonConceded,seasonGoalDifference,seasonWins_home,seasonWins_away,seasonWins_overall,seasonDraws_home,seasonDraws_away,seasonDraws_overall,seasonLosses_away,seasonLosses_overall,seasonLosses_home,matchesPlayed,name,country,cleanName,shortHand,url,seasonURL_overall,seasonURL_home,seasonURL_away,position,zone,corrections,wdl_record,points_original
0,249,62,41,36,27,103,95,63,40,18,12,30,3,2,5,9,10,1,45,Chesterfield FC,,Chesterfield,chesterfield-fc,/clubs/chesterfield-fc-249,/clubs/chesterfield-fc-249,/clubs/chesterfield-fc-249,/clubs/chesterfield-fc-249,1,"{'name': 'Promotion', 'number': 1}",0,wwwdlwwwwwwwdwwwwwlwwwwlwwwwwwwdldwlwwdlwllll,
1,269,46,41,37,22,87,83,59,28,15,10,25,4,4,8,9,12,3,45,Barnet FC,,Barnet,barnet-fc,/clubs/barnet-fc-269,/clubs/barnet-fc-269,/clubs/barnet-fc-269,/clubs/barnet-fc-269,2,"{'name': 'Promotion Play-off', 'number': 2}",0,wwdwlwwwlwdwwwwwdwlllldwwwlwlldwlwlwwlwwdwddw,
2,1835,45,27,21,26,72,81,47,25,13,9,22,6,9,15,4,8,4,45,Bromley FC,,Bromley,bromley-fc,/clubs/bromley-fc-1835,/clubs/bromley-fc-1835,/clubs/bromley-fc-1835,/clubs/bromley-fc-1835,3,"{'name': 'Promotion Play-off', 'number': 2}",0,lldddwwwwwdwwldwwwdwlwwwdwwdddllwdlwddwlwddww,
3,1847,53,30,33,26,83,74,59,24,13,8,21,4,7,11,8,13,5,45,Altrincham FC,,Altrincham,altrincham-fc,/clubs/altrincham-fc-1847,/clubs/altrincham-fc-1847,/clubs/altrincham-fc-1847,/clubs/altrincham-fc-1847,4,"{'name': 'Promotion Play-off', 'number': 2}",0,dwddwdllddwwwwwddwllwwdldwlwwwlllllwlwwlwwwdw,
4,1834,33,37,38,24,70,73,62,8,9,11,20,6,7,13,5,12,7,45,Solihull Moors FC,,Solihull Moors,solihull-moors-fc,/clubs/solihull-moors-fc-1834,/clubs/solihull-moors-fc-1834,/clubs/solihull-moors-fc-1834,/clubs/solihull-moors-fc-1834,5,"{'name': 'Promotion Play-off', 'number': 2}",0,dwwwdwddwwdwdwlldwwllllwwlwldlwwdwldwwddldwwl,
5,1832,45,41,36,27,86,72,63,23,11,10,21,5,4,9,9,15,6,45,Gateshead FC,,Gateshead,gateshead-fc,/clubs/gateshead-fc-1832,/clubs/gateshead-fc-1832,/clubs/gateshead-fc-1832,/clubs/gateshead-fc-1832,6,"{'name': 'Promotion Play-off', 'number': 2}",0,dlwwlddwdwwwlwldlwwwdlwdlllwwdwwwldlwlwwwllwl,
6,1836,43,28,47,33,71,68,80,-9,12,8,20,7,1,8,13,17,4,45,Aldershot Town FC,,Aldershot Town,aldershot-town-fc,/clubs/aldershot-town-fc-1836,/clubs/aldershot-town-fc-1836,/clubs/aldershot-town-fc-1836,/clubs/aldershot-town-fc-1836,7,"{'name': 'Promotion Play-off', 'number': 2}",0,wlldwllwdlwdwlwwwlwlwwlldwldwdwlwwlwwwldldllw,
7,1823,28,25,23,25,53,67,48,5,8,10,18,9,4,13,8,13,5,44,FC Halifax Town,,Halifax Town,fc-halifax-town,/clubs/fc-halifax-town-1823,/clubs/fc-halifax-town-1823,/clubs/fc-halifax-town-1823,/clubs/fc-halifax-town-1823,8,"{'name': None, 'number': -10}",0,wlwdddwdllddlwwwwdlwdlwdwdldlllwwwwlwwwldwld,
8,232,43,26,24,19,69,65,43,26,13,8,21,3,9,12,6,12,6,45,Southend United FC,,Southend United,southend-united-fc,/clubs/southend-united-fc-232,/clubs/southend-united-fc-232,/clubs/southend-united-fc-232,/clubs/southend-united-fc-232,9,"{'name': None, 'number': -10}",0,wwllwlwdlwlddwwwwdlwdlwllwwllldwwwdddwddwdwww,75.0
9,246,31,28,28,27,59,62,55,4,6,9,15,9,8,17,5,12,7,44,Oldham Athletic AFC,,Oldham Athletic,oldham-athletic-afc,/clubs/oldham-athletic-afc-246,/clubs/oldham-athletic-afc-246,/clubs/oldham-athletic-afc-246,/clubs/oldham-athletic-afc-246,10,"{'name': None, 'number': -10}",0,lwlddlddlwwwdddwlddwwlwlwwwwldwwdlwddlddlldd,
