,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,146120,9660,James Harrington Trafford,James Harrington,Trafford,James Trafford,james-trafford,21,192,77,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/james-trafford,145,-1,-1,Goalkeeper,2520,1260,1260,1034233200,England,eu,28,14,14,0,0,0,1,1,2,57,30,27,0,0,0,0,0,-1,0.0,0.0,0.0,7,0.0,0.0,0,2.04,44,2,2,0,90,1260,0,0.07,317,309,170,20,1710079200
1,4375,9660,Connor Roberts,Connor,Roberts,Connor Roberts,connor-roberts,28,175,71,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/wales/connor-roberts,145,-1,-1,Midfielder,819,405,414,811839600,Wales,eu,14,6,8,0,0,0,0,1,1,21,14,7,1,0,1,0,0,-1,0.11,0.11,0.0,7,0.0,0.0,0,2.31,39,5,5,1,59,164,819,0.55,427,161,-1,25,1697896800
2,123543,9660,Dara O'Shea,Dara,O'Shea,Dara O'Shea,dara-oshea,25,188,73,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/republic-of-ireland/dara-oshea,145,-1,-1,Defender,2444,1297,1147,920534400,Republic of Ireland,eu,28,15,13,2,0,2,1,1,2,56,30,26,4,2,2,0,0,-1,0.22,0.15,0.07,7,0.0,0.16,1222,2.06,44,7,6,1,87,349,611,0.26,223,114,172,7,1712412000
3,56815,9660,Louis Jordan Beyer,Louis Jordan,Beyer,Jordan Beyer,jordan-beyer,23,187,80,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/germany/jordan-beyer,145,-1,-1,Defender,1239,685,554,958719600,Germany,eu,15,8,7,0,0,0,1,1,2,21,13,8,1,1,0,0,0,-1,0.07,0.07,0.0,13,0.0,0.0,0,1.53,59,6,6,0,83,207,1239,0.44,348,211,112,30,1703948400
4,139808,9660,Victor Alexander da Silva,Victor Alexander,da Silva,Victor Alexander da Silva,victor-alexander-da-silva,24,175,72,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/brazil/victor-alexander-da-silva,145,-1,-1,Defender,1906,1042,864,932713200,Brazil,eu,26,13,13,0,0,0,1,1,2,32,15,17,0,0,0,0,0,-1,0.0,0.0,0.0,8,0.0,0.0,0,1.51,60,1,1,0,73,1906,0,0.05,349,342,109,29,1712083500
5,730109,9660,Ameen Al Dakhil,Ameen,Al Dakhil,Ameen Al Dakhil,ameen-al-dakhil,22,185,-1,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/belgium/ameen-al-dakhil,145,-1,-1,Forward,1056,516,540,1015401600,Belgium,eu,13,7,6,1,0,1,0,0,0,25,13,12,0,0,0,0,0,-1,0.09,0.0,0.09,0,0.0,0.17,1056,2.13,42,1,1,0,81,1056,0,0.09,194,343,-1,11,1706729400
6,12826,9660,Sander Berge,Sander,Berge,Sander Berge,sander-berge,26,190,88,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/norway/sander-berge,145,-1,-1,Midfielder,2468,1211,1257,887443200,Norway,eu,31,15,16,1,0,1,1,1,2,54,28,26,1,0,1,0,0,-1,0.07,0.04,0.04,6,0.0,0.07,2468,1.97,46,9,9,1,80,274,2468,0.33,251,241,-1,9,1712412000
7,4507,9660,Josh Cullen,Josh,Cullen,Josh Cullen,josh-cullen,28,175,70,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/republic-of-ireland/josh-cullen,145,-1,-1,Midfielder,1529,786,743,828864000,Republic of Ireland,eu,19,10,9,1,0,1,0,0,0,34,19,15,2,1,1,0,0,-1,0.18,0.12,0.06,0,0.0,0.12,1529,2.0,45,6,6,0,80,255,765,0.35,227,148,-1,10,1712412000
8,60098,9660,Lyle Foster,Lyle,Foster,Lyle Foster,lyle-foster,23,180,75,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/south-africa/lyle-foster,145,-1,-1,Forward,1381,748,633,968050800,South Africa,eu,18,10,8,4,2,2,0,1,1,31,19,12,3,1,2,0,0,-1,0.46,0.2,0.26,6,0.24,0.28,345,2.02,45,2,1,1,77,691,460,0.13,84,81,-1,2,1712412000
9,682437,9660,Mohamed Zeki Amdouni,Mohamed Zeki,Amdouni,Zeki Amdouni,zeki-amdouni,23,183,80,Premier League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/switzerland/zeki-amdouni,145,-1,-1,Forward,1852,911,941,975916800,Switzerland,eu,29,14,15,4,2,2,1,1,2,38,19,19,1,1,0,0,0,-1,0.24,0.05,0.19,7,0.2,0.19,463,1.85,49,2,2,0,64,926,1852,0.1,117,226,-1,1,1711810800
