,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,711592,9675,Pablo Cuñat Campos,Pablo,Cuñat Campos,Pablo Cuñat Campos,pablo-cunat-campos,21,181,81,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/pablo-cunat-campos,4522,-1,-1,Goalkeeper,2340,1350,990,1019977200,Spain,eu,26,15,11,0,0,0,5,2,7,27,12,15,0,0,0,0,0,-1,0.0,0.0,0.0,27,0.0,0.0,0,1.04,87,1,1,0,90,2340,0,0.04,342,333,98,17,1710185400
1,10580,9675,Xabier Etxeita Gorritxategi,Xabier,Etxeita Gorritxategi,Xabier Etxeita Gorritxategi,xabier-etxeita-gorritxategi,36,186,78,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/xabier-etxeita-gorritxategi,4522,-1,-1,Defender,2056,1080,976,562665600,Spain,eu,23,12,11,0,0,0,4,3,7,24,11,13,1,1,0,0,0,-1,0.04,0.04,0.0,30,0.0,0.0,0,1.05,86,4,4,0,89,514,2056,0.18,477,228,104,20,1713614400
2,129157,9675,José Manuel Hernando Riol,José Manuel,Hernando Riol,Manu Hernando,manu-hernando,25,183,70,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/manu-hernando,4522,319,-1,Defender,2999,1469,1530,900831600,Spain,eu,34,17,17,3,1,2,7,1,8,40,11,29,0,0,0,0,0,-1,0.09,0.0,0.09,24,0.06,0.12,1000,1.2,75,9,9,0,88,333,0,0.27,178,391,138,4,1713622500
3,187898,9675,Jorge Mier Martínez,Jorge,Mier Martínez,Jorge Mier Martínez,jorge-mier-martinez,25,175,65,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/jorge-mier-martinez,4522,-1,-1,Defender,952,463,489,918115200,Spain,eu,18,8,10,0,0,0,4,2,6,13,4,9,0,0,0,0,0,-1,0.0,0.0,0.0,33,0.0,0.0,0,1.23,73,2,2,0,53,476,0,0.19,398,390,151,25,1712341800
4,127277,9675,Iker Seguín Cid,Iker,Seguín Cid,Iker Seguín Cid,iker-seguin-cid,34,183,73,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/iker-seguin-cid,4522,-1,-1,Midfielder,585,361,224,616230000,Spain,eu,10,6,4,0,0,0,3,1,4,5,2,3,0,0,0,0,0,-1,0.0,0.0,0.0,40,0.0,0.0,0,0.77,117,4,3,1,59,146,0,0.62,397,389,-1,24,1708891200
5,622,9675,Ryan Edwards,Ryan,Edwards,Ryan Edwards,ryan-edwards,30,175,70,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/australia/ryan-edwards,4522,-1,-1,Midfielder,1293,648,645,753523200,Australia,eu,32,16,16,3,3,0,6,3,9,21,5,16,0,0,0,0,0,-1,0.21,0.0,0.21,28,0.42,0.0,431,1.46,62,2,2,0,40,647,0,0.14,84,388,-1,4,1713614400
6,10825,9675,Alejandro Carbonell Vallés,Alejandro,Carbonell Vallés,Alejandro Carbonell Vallés,alejandro-carbonell-valles,26,182,76,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/alejandro-carbonell-valles,4522,-1,-1,Midfielder,1967,987,980,874306800,Spain,eu,31,17,14,0,0,0,6,2,8,24,9,15,0,0,0,0,0,-1,0.0,0.0,0.0,26,0.0,0.0,0,1.1,82,6,6,1,63,328,0,0.27,396,387,-1,23,1710790200
7,39612,9675,Rayco Rodríguez Medina,Rayco,Rodríguez Medina,Rayco Rodríguez Medina,rayco-rodriguez-medina,27,178,65,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/rayco-rodriguez-medina,4522,-1,-1,Midfielder,1154,509,645,848822400,Spain,eu,25,12,13,1,0,1,4,2,6,15,3,12,2,0,2,0,0,-1,0.23,0.16,0.08,24,0.0,0.14,1154,1.17,77,0,0,0,46,0,577,0.0,198,77,-1,10,1708277400
8,86510,9675,Kwasi Sibo,Kwasi,Sibo,Kwasi Sibo,kwasi-sibo,26,182,72,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/ghana/kwasi-sibo,4522,-1,-1,Midfielder,2603,1369,1234,885628800,Ghana,eu,33,19,14,1,1,0,6,3,9,33,13,20,0,0,0,0,0,-1,0.03,0.0,0.03,27,0.07,0.0,2603,1.14,79,8,7,1,79,325,0,0.28,266,386,-1,11,1713614400
9,129374,9675,Eneko Jauregi Escobar,Eneko,Jauregi Escobar,Eneko Jauregi Escobar,eneko-jauregi-escobar,27,184,81,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/eneko-jauregi-escobar,4522,-1,-1,Forward,1867,963,904,837241200,Spain,eu,31,17,14,6,3,3,6,2,8,30,10,20,2,1,1,0,1,0,0.39,0.1,0.29,26,0.28,0.3,311,1.45,62,3,3,0,60,622,934,0.14,54,144,-1,1,1713614400
10,840011,9675,,,,,,0,-1,-1,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players//,4522,-1,-1,Midfielder,353,256,97,0,,eu,18,10,8,0,0,0,5,0,5,4,1,3,1,1,0,0,0,-1,0.25,0.25,0.0,28,0.0,0.0,0,1.02,88,1,1,0,20,353,353,0.25,395,20,-1,22,1696177800
11,10810,9675,Josué Dorrio Ortega,Josué,Dorrio Ortega,Josué Dorrio Ortega,josue-dorrio-ortega,30,170,68,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/josue-dorrio-ortega,4522,-1,-1,Midfielder,2883,1560,1323,762681600,Spain,eu,36,19,17,3,3,0,6,3,9,37,16,21,6,5,1,0,0,-1,0.28,0.19,0.09,25,0.17,0.0,961,1.16,78,3,3,0,80,961,481,0.09,180,54,-1,5,1713614400
12,10581,9675,Javier Eraso Goñi,Javier,Eraso Goñi,Javier Eraso,javier-eraso,34,180,71,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/javier-eraso,4522,-1,-1,Midfielder,756,503,253,638092800,Spain,eu,21,12,9,2,1,1,3,0,3,11,6,5,0,0,0,0,0,-1,0.24,0.0,0.24,14,0.18,0.36,378,1.31,69,2,2,0,36,378,0,0.24,74,385,-1,6,1707059700
13,10799,9675,Erik Morán Arribas,Erik,Morán Arribas,Erik Morán Arribas,erik-moran-arribas,32,187,74,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/erik-moran-arribas,4522,-1,-1,Midfielder,1365,755,610,675154800,Spain,eu,26,14,12,0,0,0,4,1,5,16,8,8,3,1,2,0,0,-1,0.2,0.2,0.0,19,0.0,0.0,0,1.05,85,5,5,0,53,273,455,0.33,394,52,-1,21,1713614400
14,759184,9675,Félix Martí Garreta,Félix,Martí Garreta,Félix Garreta,felix-garreta,20,-1,-1,Segunda División,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/felix-garreta,4522,-1,-1,Defender,2493,1197,1296,1082530800,Spain,eu,31,15,16,4,3,1,3,3,6,30,12,18,1,0,1,0,0,-1,0.18,0.04,0.14,19,0.23,0.07,623,1.08,83,8,7,1,80,312,2493,0.29,128,230,110,2,1713614400
