,id,seasonGoals_home,seasonGoals_away,seasonConceded_away,seasonConceded_home,seasonGoals,points,seasonConceded,seasonGoalDifference,seasonWins_home,seasonWins_away,seasonWins_overall,seasonDraws_home,seasonDraws_away,seasonDraws_overall,seasonLosses_away,seasonLosses_overall,seasonLosses_home,matchesPlayed,name,country,cleanName,shortHand,url,seasonURL_overall,seasonURL_home,seasonURL_away,position,zone,corrections,wdl_record
0,278,28,19,12,9,47,63,21,26,9,8,17,7,5,12,5,7,2,36,CD Leganés,,Leganés,cd-leganes,/clubs/cd-leganes-278,/clubs/cd-leganes-278,/clubs/cd-leganes-278,/clubs/cd-leganes-278,1,"{'name': 'Promotion', 'number': 1}",0,lwwwwlwwldwwwwwddldddwwlddwllwwwdddd
1,279,35,24,26,14,59,61,40,19,11,7,18,4,3,7,8,11,3,36,SD Eibar,,SD Eibar,sd-eibar,/clubs/sd-eibar-279,/clubs/sd-eibar-279,/clubs/sd-eibar-279,/clubs/sd-eibar-279,2,"{'name': 'Promotion', 'number': 1}",0,lwlllwwwwwdwwddlwldldwwwdwdlwlwlwlww
2,297,29,15,21,10,44,61,31,13,12,6,18,4,3,7,9,11,2,36,Real Valladolid Club de Fútbol,,Real Valladolid,real-valladolid-club-de-futbol,/clubs/real-valladolid-club-de-futbol-297,/clubs/real-valladolid-club-de-futbol-297,/clubs/real-valladolid-club-de-futbol-297,/clubs/real-valladolid-club-de-futbol-297,3,"{'name': 'Promotion Play-off', 'number': 2}",0,wllldwwwwwlwlwwdwlwllldwdddwlwlwdwww
3,280,34,18,20,17,52,59,37,15,10,5,15,7,7,14,6,7,1,36,Reial Club Deportiu Espanyol,,RCD Espanyol,reial-club-deportiu-espanyol,/clubs/reial-club-deportiu-espanyol-280,/clubs/reial-club-deportiu-espanyol-280,/clubs/reial-club-deportiu-espanyol-280,/clubs/reial-club-deportiu-espanyol-280,4,"{'name': 'Promotion Play-off', 'number': 2}",0,dwwwwdlwwlwllddwwlddddwlwlwwddwddwdd
4,295,22,16,22,11,38,57,33,5,10,6,16,5,4,9,8,11,3,36,Elche CF,,Elche CF,elche-cf,/clubs/elche-cf-295,/clubs/elche-cf-295,/clubs/elche-cf-295,/clubs/elche-cf-295,5,"{'name': 'Promotion Play-off', 'number': 2}",0,llwddwldlwdwwdwlwwlldwdwwldwwwwllldw
5,309,30,15,19,13,45,55,32,13,10,4,14,7,6,13,8,9,1,36,Real Oviedo,,Real Oviedo,real-oviedo,/clubs/real-oviedo-309,/clubs/real-oviedo-309,/clubs/real-oviedo-309,/clubs/real-oviedo-309,6,"{'name': 'Promotion Play-off', 'number': 2}",0,ldlddllwwdwdwddwlwdwddwwdlwlwwdlwwdl
6,289,26,17,22,13,43,55,35,8,10,5,15,6,4,10,9,11,2,36,Real Sporting de Gijón,,Sporting Gijón,real-sporting-de-gijon,/clubs/real-sporting-de-gijon-289,/clubs/real-sporting-de-gijon-289,/clubs/real-sporting-de-gijon-289,/clubs/real-sporting-de-gijon-289,7,"{'name': None, 'number': -10}",0,lwlwdwdwwldwwwddwlddddwllwdlwlwllwwl
7,319,32,23,32,18,55,54,50,5,11,4,15,3,6,9,8,12,4,36,Real Racing Club de Santander,,Racing Santander,real-racing-club-de-santander,/clubs/real-racing-club-de-santander-319,/clubs/real-racing-club-de-santander-319,/clubs/real-racing-club-de-santander-319,/clubs/real-racing-club-de-santander-319,8,"{'name': None, 'number': -10}",0,wlddwdwllwwwlllwwdddwlllwwlwdwdwwlld
8,4542,27,16,25,17,43,54,42,1,9,5,14,8,4,12,9,10,1,36,Racing Club de Ferrol,,Racing Club de Ferrol,racing-club-de-ferrol,/clubs/racing-club-de-ferrol-4542,/clubs/racing-club-de-ferrol-4542,/clubs/racing-club-de-ferrol-4542,/clubs/racing-club-de-ferrol-4542,9,"{'name': None, 'number': -10}",0,wdwddlwlwdldwwwddwlwwdlwdldldlwdwlwl
9,4546,28,16,37,9,44,53,46,-2,12,3,15,6,2,8,13,13,0,36,Burgos CF,,Burgos CF,burgos-cf,/clubs/burgos-cf-4546,/clubs/burgos-cf-4546,/clubs/burgos-cf-4546,/clubs/burgos-cf-4546,10,"{'name': None, 'number': -10}",0,dlwlwlwlwlwldlwddwdwdwlwlwlwwwdldlwl
10,292,27,15,17,23,42,52,40,2,9,3,12,6,10,16,5,8,3,36,Levante UD,,Levante UD,levante-ud,/clubs/levante-ud-292,/clubs/levante-ud-292,/clubs/levante-ud-292,/clubs/levante-ud-292,11,"{'name': None, 'number': -10}",0,dwwdlwwddwwdldlllwdwdwddlddlwddwdwld
11,311,16,16,27,9,32,46,36,-4,9,3,12,5,5,10,10,14,4,36,CD Tenerife,,CD Tenerife,cd-tenerife,/clubs/cd-tenerife-311,/clubs/cd-tenerife-311,/clubs/cd-tenerife-311,/clubs/cd-tenerife-311,12,"{'name': None, 'number': -10}",0,wwlwwlwlwwddlllldwwldllddlwdwlddlwld
12,299,21,14,17,17,35,45,34,1,7,4,11,4,8,12,6,13,7,36,Real Zaragoza,,Real Zaragoza,real-zaragoza,/clubs/real-zaragoza-299,/clubs/real-zaragoza-299,/clubs/real-zaragoza-299,/clubs/real-zaragoza-299,13,"{'name': None, 'number': -10}",0,wwwwwdllwldlddlllwddddwdwlldllldwldw
13,301,17,14,12,15,31,42,27,4,5,4,9,6,9,15,5,12,7,36,SD Huesca,,SD Huesca,sd-huesca,/clubs/sd-huesca-301,/clubs/sd-huesca-301,/clubs/sd-huesca-301,/clubs/sd-huesca-301,14,"{'name': None, 'number': -10}",0,dlddldwllldldwdwllwlwdldwddwdwdwddll
