,id,homeID,awayID,season,status,roundID,game_week,revised_game_week,homeGoals,awayGoals,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_offsides,team_b_offsides,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,refereeID,coach_a_ID,coach_b_ID,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_team_a_cs_yes,odds_team_a_cs_no,odds_team_b_cs_yes,odds_team_b_cs_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,odds_1st_half_result_1,odds_1st_half_result_x,odds_1st_half_result_2,odds_2nd_half_result_1,odds_2nd_half_result_x,odds_2nd_half_result_2,odds_dnb_1,odds_dnb_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2,odds_team_to_score_first_1,odds_team_to_score_first_x,odds_team_to_score_first_2,odds_win_to_nil_1,odds_win_to_nil_2,odds_1st_half_over05,odds_1st_half_over15,odds_1st_half_over25,odds_1st_half_over35,odds_1st_half_under05,odds_1st_half_under15,odds_1st_half_under25,odds_1st_half_under35,odds_2nd_half_over05,odds_2nd_half_over15,odds_2nd_half_over25,odds_2nd_half_over35,odds_2nd_half_under05,odds_2nd_half_under15,odds_2nd_half_under25,odds_2nd_half_under35,odds_btts_1st_half_yes,odds_btts_1st_half_no,odds_btts_2nd_half_yes,odds_btts_2nd_half_no,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,btts_fhg_potential,btts_2hg_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o45_potential,o35_potential,o25_potential,o15_potential,o05_potential,o15HT_potential,o05HT_potential,o05_2H_potential,o15_2H_potential,corners_potential,offsides_potential,cards_potential,avg_potential,home_url,home_image,home_name,away_url,away_image,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u45_potential,u35_potential,u25_potential,u15_potential,u05_potential,corners_o85_potential,corners_o95_potential,corners_o105_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,match_url,competition_id,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,homeGoals_timings,awayGoals_timings
0,6937196,668370,668366,2023/2024,complete,101446,1,-1,['76'],"['79', '90+2']",1,2,3,5,7,12,2,1,3,3,1,0,4,9,5,8,9,17,5,6,42,58,11713.0,30174,27508,Villa Park (Birmingham),,5,3,4.5,4.0,1.67,1.02,1.14,1.42,2.11,3.56,13.0,5.0,2.41,1.65,1.23,1.57,2.25,0.0,0.0,0.0,0.0,2.1,1.2,1.14,4.33,2.4,2.1,4.0,2.88,1.91,0,0,0.0,1.8,1.95,2.5,3.7,0.0,2.0,1.73,1.44,1.22,3.32,8.9,1.42,2.75,19.0,1.44,0.0,0.0,1.25,2.2,4.5,9.0,3.75,1.62,1.17,1.04,1.14,1.73,3.25,7.0,5.5,2.0,1.33,1.1,0,0,0,0,3,0,0,1,2,3,0,1696159800,668366,0,0,0,0,0,-1,1,1,2,2,3,5,4,8,2,2,2,1,4,3,1,47,83,82,105,1.19,2.3,3.49,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,19,21,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/aston-villa-lfc-668370,teams/england-aston-villa-lfc.png,Aston Villa Ladies,/clubs/manchester-united-wfc-668366,teams/england-manchester-united-wfc.png,Manchester United Women,0.56,1.56,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/manchester-united-wfc-vs-aston-villa-lfc-h2h-stats#6937196,9890,18,True,True,True,False,False,False,True,['76'],"['79', '90+2']"
1,6937197,10580,10665,2023/2024,complete,101446,1,-1,['65'],"['3', '14']",1,2,3,3,2,5,1,3,0,2,0,0,5,5,6,6,11,11,13,8,51,49,48234.0,24838,37526,Walton Hall Park (Liverpool),,0,2,1.85,3.9,3.6,1.02,1.14,1.38,2.05,3.34,13.0,5.0,2.52,1.69,1.26,1.44,2.63,3.6,1.25,5.5,1.11,1.25,1.2,1.83,2.3,2.5,3.75,2.1,2.88,3.4,0,0,1.33,1.57,2.0,2.4,3.0,3.0,2.25,1.8,1.5,1.33,1.75,7.0,2.6,1.53,20.5,2.4,0.0,0.0,1.25,2.1,4.5,9.0,3.75,1.67,1.17,1.04,1.13,1.62,3.0,6.5,6.0,2.2,1.36,1.11,0,0,0,0,3,0,2,1,0,1,2,1696161600,10665,0,0,0,0,0,-1,1,1,0,0,3,2,0,5,0,1,0,1,1,1,1,49,52,68,76,1.4,1.42,2.81,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,19,23,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/everton-fc-women-10580,teams/england-everton-fc-women.png,Everton Women,/clubs/brighton-hove-albion-women-girls-fc-10665,teams/england-brighton-hove-albion-women-girls-fc.png,Brighton & Hove Albion Women,0.56,1.44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/everton-fc-women-vs-brighton-hove-albion-women-girls-fc-h2h-stats#6937197,9890,18,True,True,True,False,False,False,True,['65'],"['3', '14']"
2,6937198,10581,10577,2023/2024,complete,101446,1,-1,[],['48'],0,1,1,19,1,20,2,0,1,3,0,0,4,3,5,4,9,7,6,6,60,40,53441.0,10560,10987,Emirates Stadium (London),,1,3,1.2,6.5,11.0,1.0,1.13,1.41,2.2,3.4,12.0,5.0,2.44,1.6,1.27,2.1,1.67,1.8,1.91,9.0,1.03,1.01,1.04,3.9,1.57,2.75,8.5,1.44,3.3,8.5,0,0,1.29,1.48,1.83,2.18,2.7,3.4,2.5,1.98,1.61,1.4,1.11,11.0,9.0,1.17,19.0,5.0,0.0,0.0,1.25,2.2,4.5,9.0,3.75,1.62,1.17,1.04,1.14,1.73,3.25,7.0,5.5,2.0,1.33,1.1,0,0,0,0,1,0,0,0,1,1,0,1696165200,10577,0,0,0,0,0,-1,1,1,12,1,7,0,13,7,1,0,0,3,1,3,1,110,43,126,76,1.65,0.97,2.61,0,0,0,0,0,0,1,1,0,0,5,0,0,0,1,21,30,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/arsenal-fc-women-10581,teams/england-arsenal-fc-women.png,Arsenal Women,/clubs/liverpool-fc-women-10577,teams/england-liverpool-fc-women.png,Liverpool Women,2.67,1.67,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/liverpool-fc-women-vs-arsenal-fc-women-h2h-stats#6937198,9890,18,True,False,False,False,False,False,False,[],['48']
3,6937199,10579,668373,2023/2024,complete,101446,1,-1,"['33', '85']","['45+2', '49', '52', '83']",2,4,6,4,7,11,0,4,1,2,0,0,5,9,3,5,8,14,13,10,35,65,37223.0,41064,11645,Ashton Gate Stadium (Bristol),,1,2,2.59,3.75,2.12,1.03,1.15,1.55,2.34,4.05,11.0,4.5,2.23,1.5,1.18,1.53,2.38,0.0,0.0,0.0,0.0,1.45,1.22,1.45,2.88,2.4,2.88,2.63,2.66,2.63,0,0,0.0,1.62,2.01,0.0,0.0,0.0,2.19,1.74,0.0,0.0,0.0,0.0,0.0,1.91,16.5,1.91,0.0,0.0,1.29,2.38,5.0,10.0,3.5,1.53,1.14,1.03,1.14,1.73,3.4,8.0,5.5,2.0,1.3,1.08,0,0,0,0,6,1,1,1,3,4,2,1696165200,668373,0,0,0,0,0,-1,1,1,3,3,1,4,6,5,0,0,1,2,0,3,1,23,43,48,66,1.02,1.82,2.84,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,21,32,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/bristol-city-womens-fc-10579,teams/england-bristol-city-womens-fc.png,Bristol City Women,/clubs/leicester-city-wfc-668373,teams/england-leicester-city-wfc.png,Leicester City WFC,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/bristol-city-womens-fc-vs-leicester-city-wfc-h2h-stats#6937199,9890,18,True,True,True,True,True,True,True,"['33', '85']","['45+2', '49', '52', '83']"
4,6937200,10666,10576,2023/2024,complete,101446,1,-1,[],"['48', '55']",0,2,2,0,3,3,0,2,1,1,0,1,2,9,2,7,4,16,9,5,32,68,49167.0,37962,24916,"Chigwell Construction Stadium (Dagenham, Essex)",,1,3,5.0,5.0,1.44,1.02,1.14,1.38,2.0,3.34,13.0,5.0,2.53,1.73,1.26,1.67,2.1,0.0,0.0,0.0,0.0,2.6,1.11,1.11,5.5,2.63,1.83,5.0,3.1,1.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,20.5,1.3,0.0,0.0,1.22,2.1,4.33,8.5,4.0,1.67,1.2,1.05,1.13,1.62,3.0,6.5,6.0,2.2,1.36,1.11,0,0,0,0,2,0,0,0,2,2,0,1696168800,10576,0,0,0,0,0,-1,1,1,0,1,0,2,1,2,0,1,1,1,1,2,1,37,89,78,152,0.67,2.29,2.96,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,16,29,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/west-ham-united-women-fc-10666,teams/england-west-ham-united-women-fc.png,West Ham United Women,/clubs/manchester-city-women-10576,teams/england-manchester-city-women.png,Manchester City Women,0.6,2.67,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/manchester-city-women-vs-west-ham-united-women-fc-h2h-stats#6937200,9890,18,True,True,False,False,False,False,False,[],"['48', '55']"
5,6937201,10578,668367,2023/2024,complete,101446,1,-1,"['28', '51']",['76'],2,1,3,4,3,7,3,1,0,1,0,0,13,12,8,2,21,14,6,8,56,44,22362.0,27503,42105,Stamford Bridge (London),,0,1,1.17,7.0,10.0,1.02,1.11,1.36,1.99,2.93,15.0,6.0,2.8,1.8,1.33,2.0,1.73,1.91,1.8,11.0,1.01,1.01,1.07,3.65,1.53,2.88,9.0,1.4,3.5,8.5,0,0,1.33,1.49,1.91,2.43,3.0,3.0,2.37,1.85,1.47,1.33,1.02,17.0,12.5,1.17,25.0,4.75,0.0,0.0,1.22,2.0,4.33,8.5,4.0,1.73,1.2,1.05,1.13,1.62,2.75,6.0,6.0,2.2,1.4,1.13,0,0,0,0,3,1,0,1,1,2,1,1696177800,10578,0,0,0,0,0,-1,1,1,3,2,1,1,5,2,0,1,0,0,1,0,1,71,42,125,83,2.75,2.03,4.77,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,20,22,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/chelsea-fc-women-10578,teams/england-chelsea-fc-women.png,Chelsea Women,/clubs/tottenham-hotspur-wfc-668367,teams/england-tottenham-hotspur-wfc.png,Tottenham Hotspur Women,2.7,1.56,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/chelsea-fc-women-vs-tottenham-hotspur-wfc-h2h-stats#6937201,9890,17,True,True,True,False,False,False,True,"['28', '51']",['76']
6,6937202,10665,10666,2023/2024,complete,101446,2,-1,[],"['12', '51']",0,2,2,7,2,9,3,0,2,5,0,0,4,6,5,5,9,11,10,11,50,50,1402.0,37526,37962,"Broadfield Stadium (Crawley, West Sussex)",,2,5,2.05,3.5,2.85,1.0,1.14,1.45,2.25,3.75,19.0,5.0,2.55,1.57,1.25,1.44,2.63,3.6,1.25,4.0,1.2,1.4,1.22,1.53,2.75,2.38,3.0,2.5,2.75,2.75,0,0,0.0,1.62,2.02,0.0,0.0,0.0,2.19,1.74,0.0,0.0,2.0,7.5,2.1,1.73,19.0,2.05,0.0,0.0,1.25,2.2,4.5,9.0,3.75,1.62,1.17,1.04,1.14,1.67,3.25,7.0,5.5,2.1,1.33,1.1,0,0,0,0,2,0,1,0,1,1,1,1696762800,10666,0,0,0,0,0,-1,1,1,4,0,3,2,4,5,1,2,1,3,3,4,1,35,21,60,48,1.1,1.26,2.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,31,15,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/brighton-hove-albion-women-girls-fc-10665,teams/england-brighton-hove-albion-women-girls-fc.png,Brighton & Hove Albion Women,/clubs/west-ham-united-women-fc-10666,teams/england-west-ham-united-women-fc.png,West Ham United Women,0.56,0.88,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/brighton-hove-albion-women-girls-fc-vs-west-ham-united-women-fc-h2h-stats#6937202,9890,18,True,True,False,False,False,False,False,[],"['12', '51']"
7,6937203,668366,10581,2023/2024,complete,101446,2,-1,"['27', '81']","['14', '90+3']",2,2,4,3,6,9,2,5,1,2,0,0,5,5,3,7,8,12,7,4,49,51,48234.0,27508,10560,"Leigh Sports Village Stadium (Leigh, Greater Manchester)",,1,2,2.45,3.3,2.45,1.04,1.17,1.67,2.51,4.5,10.0,4.15,2.1,1.44,1.17,1.57,2.25,3.6,1.25,3.6,1.25,1.44,1.23,1.44,3.0,2.25,3.0,2.75,2.6,2.75,0,0,1.38,1.63,1.83,2.38,3.2,2.8,2.16,1.83,1.5,1.29,2.1,7.5,2.0,1.91,15.0,1.91,0.0,0.0,1.33,2.5,5.5,10.5,3.25,1.5,1.13,1.03,1.18,1.83,3.75,9.0,4.5,1.83,1.25,1.07,0,0,0,0,4,1,1,1,1,2,2,1696617000,-1,0,0,0,0,0,-1,1,1,2,1,1,5,3,6,0,0,1,2,0,3,1,35,34,53,54,1.11,1.35,2.46,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,19,28,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/manchester-united-wfc-668366,teams/england-manchester-united-wfc.png,Manchester United Women,/clubs/arsenal-fc-women-10581,teams/england-arsenal-fc-women.png,Arsenal Women,1.89,1.78,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/arsenal-fc-women-vs-manchester-united-wfc-h2h-stats#6937203,9890,18,True,True,True,True,False,False,True,"['27', '81']","['14', '90+3']"
8,6937204,10576,10578,2023/2024,complete,101446,2,-1,['7'],['90+6'],1,1,2,4,9,13,0,1,5,3,2,0,6,5,2,7,8,12,4,10,35,65,53441.0,24916,27503,Joie Stadium (Manchester),,7,3,2.15,3.5,2.7,1.0,1.14,1.45,2.18,3.75,19.0,5.0,2.55,1.61,1.25,1.44,2.63,3.8,1.22,4.0,1.2,1.44,1.22,1.5,2.88,2.38,2.88,2.63,2.75,2.63,0,0,0.0,1.47,1.95,2.26,0.0,0.0,2.46,1.85,1.56,0.0,1.82,8.0,2.33,1.91,19.0,1.91,0.0,0.0,1.25,2.2,4.5,9.0,3.75,1.62,1.17,1.04,1.14,1.67,3.25,7.0,5.5,2.1,1.33,1.1,0,0,0,0,2,1,0,0,1,1,1,1696764600,-1,0,0,0,0,0,-1,1,1,3,6,1,3,9,4,5,2,2,1,7,3,1,16,57,48,85,1.04,1.52,2.56,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,14,31,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/manchester-city-women-10576,teams/england-manchester-city-women.png,Manchester City Women,/clubs/chelsea-fc-women-10578,teams/england-chelsea-fc-women.png,Chelsea Women,2.44,2.38,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/manchester-city-women-vs-chelsea-fc-women-h2h-stats#6937204,9890,18,True,True,False,False,False,False,True,['7'],['90+6']
9,6937205,10577,668370,2023/2024,complete,101446,2,-1,"['21', '77']",[],2,0,2,4,6,10,3,1,3,0,0,0,5,5,6,4,11,9,8,8,43,57,1315.0,10987,30174,"Prenton Park (Birkenhead, Merseyside)",,3,0,2.54,3.34,2.45,1.02,1.22,1.68,2.84,4.75,10.0,3.64,2.01,1.35,1.15,1.62,2.2,4.5,1.17,2.88,1.36,1.68,1.22,1.25,3.0,2.3,2.88,2.75,2.53,2.6,0,0,0.0,0.0,1.63,2.0,0.0,0.0,0.0,2.16,1.69,0.0,2.2,8.0,1.83,2.05,10.0,1.8,0.0,0.0,1.3,2.5,5.5,10.5,3.4,1.5,1.13,1.03,1.17,1.83,3.5,9.0,5.0,1.83,1.29,1.07,0,0,0,0,2,1,0,1,0,1,1,1696787100,10577,0,0,0,0,0,-1,1,1,4,4,0,2,8,2,1,0,2,0,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,26,24,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/liverpool-fc-women-10577,teams/england-liverpool-fc-women.png,Liverpool Women,/clubs/aston-villa-lfc-668370,teams/england-aston-villa-lfc.png,Aston Villa Ladies,1.56,1.5,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/england/liverpool-fc-women-vs-aston-villa-lfc-h2h-stats#6937205,9890,18,True,True,False,False,False,False,False,"['21', '77']",[]
