,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,574962,9890,Daphne van Domselaar,Daphne,van Domselaar,Daphne van Domselaar,daphne-van-domselaar,24,176,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/netherlands/daphne-van-domselaar,668370,-1,-1,Goalkeeper,1260,540,720,952329600,Netherlands,eu,14,6,8,0,0,0,0,2,2,28,19,9,0,0,0,0,0,-1,0.0,0.0,0.0,14,0.0,0.0,0,2.0,45,0,0,0,90,0,0,0.0,154,153,58,16,1709474400
1,171095,9890,Rachel Corsie,Rachel,Corsie,Rachel Corsie,rachel-corsie,34,175,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/scotland/rachel-corsie,668370,-1,-1,Defender,1431,636,795,619340400,Scotland,eu,19,9,10,0,0,0,1,2,3,29,17,12,2,2,0,0,0,-1,0.13,0.13,0.0,16,0.0,0.0,0,1.82,49,5,5,0,75,286,716,0.31,220,77,45,20,1713376800
2,181916,9890,Danielle Turner,Danielle,Turner,Danielle Turner,danielle-turner,32,-1,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/danielle-turner,668370,-1,-1,Midfielder,1178,634,544,684486000,England,eu,16,9,7,1,0,1,1,1,2,26,19,7,0,0,0,0,0,-1,0.08,0.0,0.08,13,0.0,0.17,1178,1.99,45,1,1,0,74,1178,0,0.08,101,173,-1,6,1714309200
3,182076,9890,Sarah Emma Mayling,Sarah Emma,Mayling,Sarah Emma Mayling,sarah-emma-mayling,27,-1,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/sarah-emma-mayling,668370,-1,-1,Forward,1596,734,862,858844800,England,eu,19,9,10,1,1,0,1,2,3,30,18,12,0,0,0,1,0,100,0.06,0.0,0.06,16,0.12,0.0,1596,1.69,53,3,3,0,84,532,0,0.17,115,174,-1,7,1714309200
4,182143,9890,Anna Patten,Anna,Patten,Anna Patten,anna-patten,25,-1,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/anna-patten,668370,-1,-1,Defender,1800,900,900,924591600,England,eu,20,10,10,1,0,1,1,2,3,37,24,13,1,1,0,0,0,-1,0.1,0.05,0.05,15,0.0,0.1,1800,1.85,49,3,3,0,90,600,1800,0.15,118,124,46,8,1714309200
5,738399,9890,Lucy Parker,Lucy,Parker,Lucy Parker,lucy-parker,25,-1,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/lucy-parker,668370,-1,-1,Defender,384,188,196,911376000,England,eu,6,3,3,1,1,0,1,0,1,7,5,2,0,0,0,0,0,-1,0.23,0.0,0.23,17,0.48,0.0,384,1.64,55,2,2,0,64,192,0,0.47,51,175,38,9,1697887800
6,182017,9890,Lucy Staniforth,Lucy,Staniforth,Lucy Staniforth,lucy-staniforth,31,157,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/lucy-staniforth,668370,-1,-1,Midfielder,736,368,368,718009200,England,eu,11,5,6,0,0,0,1,2,3,16,12,4,1,0,1,0,0,-1,0.12,0.12,0.0,27,0.0,0.0,0,1.96,46,0,0,0,67,0,736,0.0,174,86,-1,22,1705690800
7,625947,9890,Laura Brown,Laura,Brown,Laura Brown,laura-brown,20,-1,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/laura-brown,668370,10576,-1,Midfielder,717,252,465,1063090800,England,eu,14,5,9,1,1,0,2,3,5,15,10,5,0,0,0,0,0,-1,0.13,0.0,0.13,36,0.36,0.0,717,1.88,48,0,0,0,51,0,0,0.0,80,176,-1,8,1706443200
8,171148,9890,Rachel Daly,Rachel,Daly,Rachel Daly,rachel-daly,32,173,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/rachel-daly,668370,-1,-1,Forward,1619,810,809,692006400,England,eu,18,9,9,7,4,3,1,2,3,32,20,12,0,0,0,2,0,100,0.39,0.0,0.39,17,0.44,0.33,231,1.78,51,3,3,0,90,540,0,0.17,24,177,-1,1,1714309200
9,598776,9890,Kirsty Hanson,Kirsty,Hanson,Kirsty Hanson,kirsty-hanson,26,-1,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/scotland/kirsty-hanson,668370,-1,-1,Forward,975,592,383,892796400,Scotland,eu,14,7,7,0,0,0,1,2,3,18,14,4,1,1,0,0,0,-1,0.09,0.09,0.0,21,0.0,0.0,0,1.66,54,3,2,1,70,325,975,0.28,175,101,-1,21,1714309200
10,191391,9890,Alisha Lehmann,Alisha,Lehmann,Alisha Lehmann,alisha-lehmann,25,166,52,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/switzerland/alisha-lehmann,668370,-1,-1,Forward,542,310,232,916905600,Switzerland,eu,13,6,7,1,1,0,0,1,1,15,11,4,0,0,0,0,0,-1,0.17,0.0,0.17,8,0.29,0.0,542,2.49,36,2,2,0,42,271,0,0.33,67,178,-1,11,1711801800
11,598777,9890,Ebony Salmon,Ebony,Salmon,Ebony Salmon,ebony-salmon,23,-1,-1,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/ebony-salmon,668370,-1,-1,Forward,535,341,194,980582400,England,eu,17,9,8,3,1,2,0,1,1,11,9,2,1,1,0,0,0,-1,0.67,0.17,0.5,6,0.26,0.93,178,1.85,49,0,0,0,31,0,535,0.0,14,62,-1,3,1713376800
12,171184,9890,Adriana Leon,Adriana,Leon,Adriana Leon,adriana-leon,31,157,55,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/canada/adriana-leon,668370,-1,-1,Forward,1125,568,557,718009200,Canada,eu,16,8,8,5,3,2,1,2,3,17,11,6,3,2,1,0,0,-1,0.64,0.24,0.4,19,0.48,0.32,225,1.36,66,5,5,0,70,225,375,0.4,23,33,-1,2,1714309200
13,182033,9890,Jordan Nobbs,Jordan,Nobbs,Jordan Nobbs,jordan-nobbs,31,159,50,FA Women's Super League,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/jordan-nobbs,668370,-1,-1,Midfielder,1308,731,577,723801600,England,eu,20,10,10,2,1,1,1,2,3,31,20,11,2,1,1,0,0,-1,0.28,0.14,0.14,15,0.12,0.16,654,2.13,42,3,3,0,65,436,654,0.21,79,76,-1,4,1714309200
