,id,name,games,goals_scored,goals_conceded,xG_for,xG_against,shots_for,shots_against,shots_on_target_for,shots_on_target_against,yellow_cards,red_cards,fouls
0,10576,Manchester City Women,20,2.9,0.6,2.0084999999999997,0.907,14.85,6.45,9.35,4.1,0.85,0.2,5.5
0,10578,Chelsea Women,19,2.9473684210526314,0.9473684210526315,1.9342105263157898,1.0815789473684212,15.421052631578947,8.263157894736842,9.0,4.7368421052631575,0.8947368421052632,0.05263157894736842,8.0
0,10581,Arsenal Women,20,2.3,0.95,1.9364999999999999,0.9005000000000001,14.15,6.65,7.65,3.75,1.55,0.0,9.25
0,668366,Manchester United Women,20,2.1,1.25,1.7735000000000003,1.1735000000000002,13.0,8.85,7.15,4.75,1.0,0.0,7.95
0,10577,Liverpool Women,20,1.55,1.4,1.2475,1.2205,9.95,8.8,5.35,5.0,1.9,0.05,8.8
0,668367,Tottenham Hotspur Women,19,1.368421052631579,1.6842105263157894,1.4073684210526316,1.4368421052631577,11.473684210526315,10.842105263157896,6.894736842105263,5.7368421052631575,1.5789473684210527,0.0,9.052631578947368
0,668370,Aston Villa Ladies,20,1.25,2.05,1.347,1.5719999999999998,10.15,11.8,5.9,6.75,1.7,0.15,6.95
0,10665,Brighton & Hove Albion Women,20,1.3,2.1,1.1085,1.612,8.05,13.15,4.85,7.4,1.55,0.0,10.6
0,10580,Everton Women,20,0.9,1.75,0.9814999999999999,1.688,7.05,12.45,3.95,7.15,1.4,0.05,9.35
0,668373,Leicester City WFC,20,1.25,2.0,1.324,1.7760000000000002,9.5,12.85,5.35,8.15,1.6,0.0,10.35
0,10666,West Ham United Women,20,0.9,2.05,1.0959999999999996,1.5525,8.45,11.8,4.3,6.7,1.75,0.05,10.35
0,10579,Bristol City Women,20,1.0,2.9,0.8549999999999998,2.0580000000000003,6.05,15.8,3.6,8.85,1.4,0.05,8.1
0,-1,#LEAGUE_AVERAGE#,238,1.6428571428571428,1.6428571428571428,1.4161764705882354,1.4161764705882354,10.65126050420168,10.65126050420168,6.0966386554621845,6.0966386554621845,1.4327731092436975,0.05042016806722689,8.6890756302521
